row_label_raw,row_label_full,col_0,01/01/2021VND,Số phải nộp trong nămVND,Số đã thực nộp trong nămVND,31/12/2021VND,numeric__01/01/2021VND,numeric__Số phải nộp trong nămVND,numeric__Số đã thực nộp trong nămVND,numeric__31/12/2021VND
Thuế phải nộp,Thuế phải nộp,Thuế phải nộp,208.921.348.697,377.901.648.917,245.397.905.271,341.425.092.343,208921348697.0,377901648917.0,245397905271.0,341425092343.0
Thuế giá trị gia tăng đầu ra,Thuế giá trị gia tăng đầu ra,Thuế giá trị gia tăng đầu ra,18.517.030.987,82.808.115.886,94.943.699.320,6.381.447.553,18517030987.0,82808115886.0,94943699320.0,6381447553.0
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,-,60.027.274,-,60.027.274,,60027274.0,,60027274.0
"Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,230.539.906,230.539.906,-,,230539906.0,230539906.0,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,84.207.720.373,291.120.609.581,130.663.487.083,244.664.842.871,84207720373.0,291120609581.0,130663487083.0,244664842871.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.812.850.958,8.212.101.161,7.597.248.955,2.427.703.164,1812850958.0,8212101161.0,7597248955.0,2427703164.0
Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,-,(5.369.808.310),11.106.013.664,(16.475.821.974),,-5369808310.0,11106013664.0,-16475821974.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,104.383.746.379,538.759.046,555.611.970,104.366.893.455,104383746379.0,538759046.0,555611970.0,104366893455.0
Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,-,301.304.373,301.304.373,-,,301304373.0,301304373.0,
Thuế phải thu,Thuế phải thu,Thuế phải thu,11.816.994.342,18.834.030.785,23.200.825.403,16.183.788.960,11816994342.0,18834030785.0,23200825403.0,16183788960.0
Thuế thu nhập doanh nghiệp tạm nộp,Thuế thu nhập doanh nghiệp tạm nộp,Thuế thu nhập doanh nghiệp tạm nộp,11.816.994.342,18.834.030.785,23.158.261.794,16.141.225.351,11816994342.0,18834030785.0,23158261794.0,16141225351.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,-,13.771.384,13.771.384,,,13771384.0,13771384.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,-,28.732.325,28.732.325,,,28732325.0,28732325.0
Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,-,-,59.900,59.900,,,59900.0,59900.0
