row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Kinh doanh bất động sản VND,Thương mại và dịch vụ VND,Xây dựng VND,Loại trừ nội bộ VND,Tổng cộng VND,numeric__Kinh doanh bất động sản VND,numeric__Thương mại và dịch vụ VND,numeric__Xây dựng VND,numeric__Loại trừ nội bộ VND,numeric__Tổng cộng VND
Doanh thu bộ phận,Doanh thu bộ phận,Doanh thu bộ phận,1.712.147.306.597,759.739.606.470,432.971.554.153,(417.684.451.667),2.487.174.015.553,1712147306597.0,759739606470.0,432971554153.0,-417684451667.0,2487174015553.0
Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,(1.206.311.673.223),(636.562.531.785),(429.228.314.755),425.396.725.619,(1.846.705.794.144),-1206311673223.0,-636562531785.0,-429228314755.0,425396725619.0,-1846705794144.0
Kết quả kinh doanh,Kết quả kinh doanh,Kết quả kinh doanh,505.835.633.374,123.177.074.685,3.743.239.398,7.712.273.952,640.468.221.409,505835633374.0,123177074685.0,3743239398.0,7712273952.0,640468221409.0
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,,,(294.196.735.186),,,,,-294196735186.0
Thu nhập tài chính,Thu nhập tài chính,Thu nhập tài chính,,,,,26.858.495.762,,,,,26858495762.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,(56.725.752.191),,,,,-56725752191.0
Lỗ trong công ty liên kết,Lỗ trong công ty liên kết,Lỗ trong công ty liên kết,,,,,(29.014.157.522),,,,,-29014157522.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,626.902.746.353,,,,,626902746353.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,(14.447.731.555),,,,,-14447731555.0
Thuế thu nhập doanh nghiệp hiện hành,Thuế thu nhập doanh nghiệp hiện hành,Thuế thu nhập doanh nghiệp hiện hành,,,,,(133.178.726.195),,,,,-133178726195.0
Thuế thu nhập doanh nghiệp hoãn lại,Thuế thu nhập doanh nghiệp hoãn lại,Thuế thu nhập doanh nghiệp hoãn lại,,,,,(44.770.230.443),,,,,-44770230443.0
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,,,,,721.896.130.432,,,,,721896130432.0
Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,,,,,10.658.224.669,,,,,10658224669.0
Lợi nhuận sau thuế của cổ đông của công ty mẹ,Lợi nhuận sau thuế của cổ đông của công ty mẹ,Lợi nhuận sau thuế của cổ đông của công ty mẹ,,,,,711.237.905.763,,,,,711237905763.0
Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,,,,,
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,6.975.545.918.818,544.166.304.034,719.834.679.219,(342.818.858.566),7.896.728.043.505,6975545918818.0,544166304034.0,719834679219.0,-342818858566.0,7896728043505.0
Tài sản không phân bổ,Tài sản và công nợ > Tài sản không phân bổ,Tài sản không phân bổ,,,,,3.929.434.998.208,,,,,3929434998208.0
Tổng tài sản,Tài sản và công nợ > Tổng tài sản,Tổng tài sản,,,,,11.826.163.041.713,,,,,11826163041713.0
Công nợ bộ phận,Tài sản và công nợ > Công nợ bộ phận,Công nợ bộ phận,6.452.846.539.790,15.554.741.726,541.787.868.697,(340.292.095.926),6.669.897.054.287,6452846539790.0,15554741726.0,541787868697.0,-340292095926.0,6669897054287.0
Công nợ không phân bổ,Tài sản và công nợ > Công nợ không phân bổ,Công nợ không phân bổ,,,,,366.136.757.055,,,,,366136757055.0
Tổng công nợ,Tài sản và công nợ > Tổng công nợ,Tổng công nợ,,,,,7.036.033.811.342,,,,,7036033811342.0
