row_label_raw,row_label_full,col_0,Giá trị hợp lý ghi nhận tại ngày mua VND,numeric__Giá trị hợp lý ghi nhận tại ngày mua VND
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,713.116.009,713116009.0
Phải thu ngắn hạn khác,Tài sản > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,35.300.564.408,35300564408.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,4.320.000,4320000.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,7.414.745.723,7414745723.0
Tài sản dở dang dài hạn,Tài sản > Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,27.595.911.665,27595911665.0
Đầu tư tài chính dài hạn,Tài sản > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,3.480.155.000,3480155000.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,2.083.277.826,2083277826.0
,,,76.592.090.631,76592090631.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Nợ phải trả,Nợ phải trả > Nợ phải trả,Nợ phải trả,13.865.667.715,13865667715.0
,,,13.865.667.715,13865667715.0
Tài sản thuần,Nợ phải trả > Tài sản thuần,Tài sản thuần,62.726.422.916,62726422916.0
Lợi thế thương mại,Nợ phải trả > Lợi thế thương mại,Lợi thế thương mại,129.888.678.963,129888678963.0
Lợi ích cố đông không kiểm soát,Nợ phải trả > Lợi ích cố đông không kiểm soát,Lợi ích cố đông không kiểm soát,47.139.478.816,47139478816.0
Tổng giá phí,Nợ phải trả > Tổng giá phí,Tổng giá phí,217.470.114.340,217470114340.0
Khoản tiền thu được,Nợ phải trả > Khoản tiền thu được,Khoản tiền thu được,713.116.009,713116009.0
Tiền thuần chi ra,Nợ phải trả > Tiền thuần chi ra,Tiền thuần chi ra,216.756.998.331,216756998331.0
