row_label_raw,row_label_full,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết_1,Đầu tư vào công ty liên kết_2,Đầu tư vào công ty liên kết_3,Đầu tư vào công ty liên kết_4,Đầu tư vào công ty liên kết_5,Đầu tư vào công ty liên kết_6,numeric__Đầu tư vào công ty liên kết_1,numeric__Đầu tư vào công ty liên kết_2,numeric__Đầu tư vào công ty liên kết_3,numeric__Đầu tư vào công ty liên kết_4,numeric__Đầu tư vào công ty liên kết_5,numeric__Đầu tư vào công ty liên kết_6
,,,Tỷ lệ %,Giá gốc VND,Giá gốc VND,Tỷ lệ %,Giá gốc VND,Giá gốc VND,,,,,,
Công ty CP Xây dựng DIC Holdings,Công ty CP Xây dựng DIC Holdings,Công ty CP Xây dựng DIC Holdings,"40,01",215.280.054.213,215.280.054.213,"40,01",128.979.496.061,128.979.496.061,40.01,215280054213.0,215280054213.0,40.01,128979496061.0,128979496061.0
Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,36,33.805.301.325,33.805.301.325,36,34.289.394.049,34.289.394.049,36.0,33805301325.0,33805301325.0,36.0,34289394049.0,34289394049.0
Công ty CP Bất động sản D.I.C,Công ty CP Bất động sản D.I.C,Công ty CP Bất động sản D.I.C,"42,68",49.531.774.541,49.531.774.541,"42,68",17.125.455.829,17.125.455.829,42.68,49531774541.0,49531774541.0,42.68,17125455829.0,17125455829.0
Công ty CP DIC Toàn Cầu,Công ty CP DIC Toàn Cầu,Công ty CP DIC Toàn Cầu,-,-,-,49,1.241.903.691,1.241.903.691,,,,49.0,1241903691.0,1241903691.0
Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,-,-,-,-,-,-,,,,,,
Cộng,Công ty CP Đầu tư Phát triển Phương Nam > Cộng,Cộng,,298.617.130.079,298.617.130.079,,181.636.249.630,181.636.249.630,,298617130079.0,298617130079.0,,181636249630.0,181636249630.0
Chi tiết các khoản đầu tư vào công ty liên kết tại ngày 31/12/2021 như sau :,Chi tiết các khoản đầu tư vào công ty liên kết tại ngày 31/12/2021 như sau :,Chi tiết các khoản đầu tư vào công ty liên kết tại ngày 31/12/2021 như sau :,Chi tiết các khoản đầu tư vào công ty liên kết tại ngày 31/12/2021 như sau :,Chi tiết các khoản đầu tư vào công ty liên kết tại ngày 31/12/2021 như sau :,Chi tiết các khoản đầu tư vào công ty liên kết tại ngày 31/12/2021 như sau :,Chi tiết các khoản đầu tư vào công ty liên kết tại ngày 31/12/2021 như sau :,Chi tiết các khoản đầu tư vào công ty liên kết tại ngày 31/12/2021 như sau :,Chi tiết các khoản đầu tư vào công ty liên kết tại ngày 31/12/2021 như sau :,,,,,,
,,,Công ty CP bắt động sản DIC,Công ty CP Đầu tư Phát triển Xây dựng Bê Tông,Công ty CP Xây dựng DIC Holdings,Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP DIC Toàn Cầu,Cộng,,,,,,
Giá gốc khoản đầu tư,Giá gốc khoản đầu tư,Giá gốc khoản đầu tư,Giá gốc khoản đầu tư,Giá gốc khoản đầu tư,Giá gốc khoản đầu tư,Giá gốc khoản đầu tư,Giá gốc khoản đầu tư,Giá gốc khoản đầu tư,,,,,,
Vào ngày 31/12/2020,Giá gốc khoản đầu tư > Vào ngày 31/12/2020,Vào ngày 31/12/2020,19.938.000.000,17.982.564.000,117.602.184.500,225.400.000.000,2.450.000.000,383.372.748.500,19938000000.0,17982564000.0,117602184500.0,225400000000.0,2450000000.0,383372748500.0
Tăng trong năm,Giá gốc khoản đầu tư > Tăng trong năm,Tăng trong năm,-,-,54.000.000.000,-,-,54.000.000.000,,,54000000000.0,,,54000000000.0
Thanh lý trong năm,Giá gốc khoản đầu tư > Thanh lý trong năm,Thanh lý trong năm,-,-,-,-,(2.450.000.000),(2.450.000.000),,,,,-2450000000.0,-2450000000.0
Vào ngày 31/12/2021,Giá gốc khoản đầu tư > Vào ngày 31/12/2021,Vào ngày 31/12/2021,19.938.000.000,17.982.564.000,171.602.184.500,225.400.000.000,-,434.922.748.500,19938000000.0,17982564000.0,171602184500.0,225400000000.0,,434922748500.0
Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư,,,,,,
Vào ngày 31/12/2020,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư > Vào ngày 31/12/2020,Vào ngày 31/12/2020,(2.812.544.171),16.306.830.049,11.377.311.561,(225.400.000.000),(1.208.096.309),(201.736.498.870),-2812544171.0,16306830049.0,11377311561.0,-225400000000.0,-1208096309.0,-201736498870.0
Lợi nhuận (lỗ) được chia,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư > Lợi nhuận (lỗ) được chia,Lợi nhuận (lỗ) được chia,32.406.318.712,2.035.895.276,32.300.558.152,-,(32.764.201),66.710.007.939,32406318712.0,2035895276.0,32300558152.0,,-32764201.0,66710007939.0
Cổ tức,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư > Cổ tức,Cổ tức,-,(2.519.988.000),-,-,-,(2.519.988.000),,-2519988000.0,,,,-2519988000.0
Thanh lý trong năm,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư > Thanh lý trong năm,Thanh lý trong năm,-,-,-,-,1.240.860.510,1.240.860.510,,,,,1240860510.0,1240860510.0
Vào ngày 31/12/2021,Phần lợi nhuận (lỗ) lũy kế sau khi đầu tư > Vào ngày 31/12/2021,Vào ngày 31/12/2021,29.593.774.541,15.822.737.325,43.677.869.713,(225.400.000.000),-,(136.305.618.421),29593774541.0,15822737325.0,43677869713.0,-225400000000.0,,-136305618421.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Vào ngày 31/12/2020,Giá trị còn lại > Vào ngày 31/12/2020,Vào ngày 31/12/2020,17.125.455.829,34.289.394.049,128.979.496.061,-,1.241.903.691,181.636.249.630,17125455829.0,34289394049.0,128979496061.0,,1241903691.0,181636249630.0
Vào ngày 31/12/2021,Giá trị còn lại > Vào ngày 31/12/2021,Vào ngày 31/12/2021,49.531.774.541,33.805.301.325,215.280.054.213,-,-,298.617.130.079,49531774541.0,33805301325.0,215280054213.0,,,298617130079.0
