row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,31/12/2023 VND,01/01/2023 VND,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2023 VND,numeric__01/01/2023 VND
II.,II.,II.,Tài sản cố định,220,,7.658.586.203.572,8.294.931.005.465,,220.0,,7658586203572.0,8294931005465.0
1.,1.,1.,Tài sản cố định hữu hình,221,13,7.583.813.455.663,8.208.964.982.001,,221.0,13.0,7583813455663.0,8208964982001.0
1.,1.,1.,- Nguyên giá,222,,17.562.537.516.427,17.734.033.638.339,,222.0,,17562537516427.0,17734033638339.0
1.,1.,1.,- Giá trị hao mòn luỹ kế,223,,(9.978.724.060.764),(9.525.068.656.338),,223.0,,-9978724060764.0,-9525068656338.0
2.,2.,2.,Tài sản cố định thuê tài chính,224,15,65.803.239.250,77.913.883.445,,224.0,15.0,65803239250.0,77913883445.0
2.,2.,2.,- Nguyên giá,225,,106.469.658.757,104.184.752.428,,225.0,,106469658757.0,104184752428.0
2.,2.,2.,- Giá trị hao mòn luỹ kế,226,,(40.666.419.507),(26.270.868.983),,226.0,,-40666419507.0,-26270868983.0
3.,3.,3.,Tài sản cố định vô hình,227,14,8.969.508.659,8.052.140.019,,227.0,14.0,8969508659.0,8052140019.0
3.,3.,3.,- Nguyên giá,228,,15.106.116.668,14.097.397.123,,228.0,,15106116668.0,14097397123.0
3.,3.,3.,- Giá trị hao mòn luỹ kế,229,,(6.136.608.009),(6.045.257.104),,229.0,,-6136608009.0,-6045257104.0
III Bất động sản đầu tư,III Bất động sản đầu tư,III Bất động sản đầu tư,III Bất động sản đầu tư,230,,-,-,,230.0,,,
III Bất động sản đầu tư,III Bất động sản đầu tư,III Bất động sản đầu tư,III Bất động sản đầu tư,- Nguyên giá,231,-,-,,,231.0,,
III Bất động sản đầu tư,III Bất động sản đầu tư,III Bất động sản đầu tư,III Bất động sản đầu tư,- Giá trị hao mòn luỹ kế,232,-,-,,,232.0,,
III Tài sản dở dang dài hạn,III Tài sản dở dang dài hạn,III Tài sản dở dang dài hạn,III Tài sản dở dang dài hạn,240,,159.528.204.100,138.891.934.548,,240.0,,159528204100.0,138891934548.0
1.,1.,1.,"Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,-,-,,241.0,,,
2.,2.,2.,Chi phí xây dựng cơ bản dở dang,242,16,159.528.204.100,138.891.934.548,,242.0,16.0,159528204100.0,138891934548.0
IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,250,5,2.583.752.839.256,2.512.390.682.276,,250.0,5.0,2583752839256.0,2512390682276.0
1.,1.,1.,Đầu tư vào công ty con,251,,-,-,,251.0,,,
2.,2.,2.,"Đầu tư vào công ty liên doanh, liên kết",252,5.3,2.433.120.624.001,2.339.324.224.629,,252.0,53.0,2433120624001.0,2339324224629.0
3.,3.,3.,Đầu tư góp vốn vào các đơn vị khác,253,5.4,263.430.945.825,280.630.449.626,,253.0,54.0,263430945825.0,280630449626.0
4.,4.,4.,Dự phòng đầu tư tài chính dài hạn,254,,(113.798.730.570),(108.563.991.979),,254.0,,-113798730570.0,-108563991979.0
5.,5.,5.,Đầu tư nằm giữ đến ngày đáo hạn,255,5.2,1.000.000.000,1.000.000.000,,255.0,52.0,1000000000.0,1000000000.0
V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,260,,240.290.963.743,248.210.739.699,,260.0,,240290963743.0,248210739699.0
1.,1.,1.,Chi phí trả trước dài hạn,261,12,102.276.380.864,119.445.644.712,,261.0,12.0,102276380864.0,119445644712.0
2.,2.,2.,Tài sản thuế thu nhập hoãn lại,262,,37.324.251.393,9.439.004.901,,262.0,,37324251393.0,9439004901.0
3.,3.,3.,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,25.658.520.194,25.536.325.972,,263.0,,25658520194.0,25536325972.0
4.,4.,4.,Tài sản dài hạn khác,268,,-,-,,268.0,,,
5.,5.,5.,Lợi thế thương mại,269,,75.031.811.292,93.789.764.114,,269.0,,75031811292.0,93789764114.0
TỔNG TÀI SẢN,TỔNG TÀI SẢN,TỔNG TÀI SẢN,TỔNG TÀI SẢN,270,,22.725.714.842.507,23.670.426.007.071,,270.0,,22725714842507.0,23670426007071.0
