row_label_raw,row_label_full,Ông Nguyễn Văn Thắng,Trường Ban,col_2,numeric__Trường Ban,numeric__col_2
Ông Tổng Quang Vinh,Ông Tổng Quang Vinh,Ông Tổng Quang Vinh,Thành viên,,,
Ông Hà Tuấn Linh,Ông Hà Tuấn Linh,Ông Hà Tuấn Linh,Thành viên,Bổ nhiệm ngày 09/06/2023,,
Bà Phạm Thị Cao Thanh,Bà Phạm Thị Cao Thanh,Bà Phạm Thị Cao Thanh,Thành viên,Miễn nhiệm ngày 09/06/2023,,
