row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Thương hiệuSông ĐàVND,Phần mềmmáy vi tínhVND,TSCĐvô hình khácVND,CộngVND,numeric__Quyềnsử dụng đấtVND,numeric__Thương hiệuSông ĐàVND,numeric__Phần mềmmáy vi tínhVND,numeric__TSCĐvô hình khácVND,numeric__CộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
01/01/2023,NGUYÊN GIÁ > 01/01/2023,01/01/2023,8.349.978.200,1.104.763.000,4.452.655.923,190.000.000,14.097.397.123,8349978200.0,1104763000.0,4452655923.0,190000000.0,14097397123.0
- Mua trong năm,NGUYÊN GIÁ > - Mua trong năm,- Mua trong năm,-,-,836.265.000,77.454.545,1.008.719.545,,,836265000.0,77454545.0,1008719545.0
31/12/2023,NGUYÊN GIÁ > 31/12/2023,31/12/2023,8.349.978.200,1.104.763.000,5.288.920.923,267.454.545,15.106.116.668,8349978200.0,1104763000.0,5288920923.0,267454545.0,15106116668.0
HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,,,,,
01/01/2023,HAO MÒN LỦY KẾ > 01/01/2023,01/01/2023,(337.478.200),(1.104.763.000),(4.413.015.904),(190.000.000),(6.045.257.104),-337478200.0,-1104763000.0,-4413015904.0,-190000000.0,-6045257104.0
- Khấu hao trong năm,HAO MÒN LỦY KẾ > - Khấu hao trong năm,- Khấu hao trong năm,-,-,(77.988.946),(9.369.501),(91.350.905),,,-77988946.0,-9369501.0,-91350905.0
31/12/2023,HAO MÒN LỦY KẾ > 31/12/2023,31/12/2023,(337.478.200),(1.104.763.000),(4.491.004.850),(199.369.501),(6.136.608.009),-337478200.0,-1104763000.0,-4491004850.0,-199369501.0,-6136608009.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
01/01/2023,GIÁ TRỊ CÒN LẠI > 01/01/2023,01/01/2023,8.012.500.000,-,39.640.019,-,8.052.140.019,8012500000.0,,39640019.0,,8052140019.0
31/12/2023,GIÁ TRỊ CÒN LẠI > 31/12/2023,31/12/2023,8.012.500.000,-,797.916.073,68.085.044,8.969.508.659,8012500000.0,,797916073.0,68085044.0,8969508659.0
