row_label_raw,row_label_full,col_0,Sản xuất Công nghiệp,Xây lắp,Các lĩnh vực khác,Cộng,numeric__Sản xuất Công nghiệp,numeric__Xây lắp,numeric__Các lĩnh vực khác,numeric__Cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm trước > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,2.591.575.609.428,2.607.809.379.477,228.870.532.193,5.428.255.521.098,2591575609428.0,2607809379477.0,228870532193.0,5428255521098.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,,,,-,,,,
Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,2.591.575.609.428,2.607.809.379.477,228.870.532.193,5.428.255.521.098,2591575609428.0,2607809379477.0,228870532193.0,5428255521098.0
Kết quả kinh doanh theo bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,1.372.664.512.957,220.890.195.048,78.289.091.697,1.671.843.799.702,1372664512957.0,220890195048.0,78289091697.0,1671843799702.0
Các chi phí không phân bổ theo bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,(2.359.196.901.337),,,,-2359196901337.0
Lợi nhuận từ hoạt động kinh doanh,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,(687.353.101.635),,,,-687353101635.0
Doanh thu hoạt động tài chính,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,3.556.748.402.817,,,,3556748402817.0
Chi phí tài chính,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Chi phí tài chính,Chi phí tài chính,,,,(904.793.301.070),,,,-904793301070.0
"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",,,,277.426.119.952,,,,277426119952.0
Thu nhập khác,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Thu nhập khác,Thu nhập khác,,,,41.950.988.470,,,,41950988470.0
Chi phí khác,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Chi phí khác,Chi phí khác,,,,(108.082.182.262),,,,-108082182262.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,(334.846.215.803),,,,-334846215803.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,(24.534.466.191),,,,-24534466191.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,1.816.516.244.278,,,,1816516244278.0
Tài sản không phân bổ,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Tài sản không phân bổ,Tài sản không phân bổ,,,,23.670.426.007.071,,,,23670426007071.0
Nợ phải trả không phân bổ,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,14.547.325.664.273,,,,14547325664273.0
Chi tiết doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài theo khu vực địa lý dựa trên vị trí của khách hàng như sau:,Chi tiết doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài theo khu vực địa lý dựa trên vị trí của khách hàng như sau:,Chi tiết doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài theo khu vực địa lý dựa trên vị trí của khách hàng như sau:,Chi tiết doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài theo khu vực địa lý dựa trên vị trí của khách hàng như sau:,Chi tiết doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài theo khu vực địa lý dựa trên vị trí của khách hàng như sau:,Chi tiết doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài theo khu vực địa lý dựa trên vị trí của khách hàng như sau:,Chi tiết doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài theo khu vực địa lý dựa trên vị trí của khách hàng như sau:,,,,
,,,,,Năm 2023VND,Năm 2022VND,,,,
Trong nước,Chi tiết doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài theo khu vực địa lý dựa trên vị trí của khách hàng như sau: > Trong nước,Trong nước,,,4.308.224.012.656,4.640.720.829.561,,,4308224012656.0,4640720829561.0
Ngoài nước,Chi tiết doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài theo khu vực địa lý dựa trên vị trí của khách hàng như sau: > Ngoài nước,Ngoài nước,,,1.275.377.225.650,787.534.691.537,,,1275377225650.0,787534691537.0
Cộng,Chi tiết doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài theo khu vực địa lý dựa trên vị trí của khách hàng như sau: > Cộng,Cộng,,,5.583.601.238.306,5.428.255.521.098,,,5583601238306.0,5428255521098.0
