row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2023 VND,01/01/2023 VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2023 VND,numeric__01/01/2023 VND
A - TÀI SẢN NGÁN HẠN,A - TÀI SẢN NGÁN HẠN,A - TÀI SẢN NGÁN HẠN,100,,10.714.962.435.635,11.147.719.306.700,100.0,,10714962435635.0,11147719306700.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,4,1.548.418.426.150,758.581.015.771,110.0,4.0,1548418426150.0,758581015771.0
1. Tiền,1. Tiền,1. Tiền,111,,1.088.218.426.150,481.119.802.881,111.0,,1088218426150.0,481119802881.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,460.200.000.000,277.461.212.890,112.0,,460200000000.0,277461212890.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,5,1.770.835.442.241,2.408.510.574.134,120.0,5.0,1770835442241.0,2408510574134.0
1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,121,5.1,172.618.561,172.618.561,121.0,51.0,172618561.0,172618561.0
2. Dự phòng giảm giá chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,122,,-,-,122.0,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Đầu tư nắm giữ đến ngày đáo hạn,3. Đầu tư nắm giữ đến ngày đáo hạn,123,5.2,1.770.662.823.680,2.408.337.955.573,123.0,52.0,1770662823680.0,2408337955573.0
III Các khoản phải thu ngắn hạn,III Các khoản phải thu ngắn hạn,III Các khoản phải thu ngắn hạn,130,,5.296.175.568.223,5.379.334.226.814,130.0,,5296175568223.0,5379334226814.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,6,2.620.999.509.751,3.050.844.582.212,131.0,6.0,2620999509751.0,3050844582212.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,8,280.631.308.634,324.392.524.402,132.0,8.0,280631308634.0,324392524402.0
