row_label_raw,row_label_full,Ông Trần Anh Đức > Ông Trần Văn Tuân,Tổng Giám đốc,Bổ nhiệm ngày 19/06/2023 > Miễn nhiệm ngày 15/06/2023,numeric__Tổng Giám đốc,numeric__Bổ nhiệm ngày 19/06/2023 > Miễn nhiệm ngày 15/06/2023
Ông Phạm Đức Thành,Ông Phạm Đức Thành,Ông Phạm Đức Thành,Phó Tổng Giám đốc,,,
Ông Nguyễn Văn Sơn,Ông Nguyễn Văn Sơn,Ông Nguyễn Văn Sơn,Phó Tổng Giám đốc,,,
Ông Nguyễn Văn Thự,Ông Nguyễn Văn Thự,Ông Nguyễn Văn Thự,Phó Tổng Giám đốc,,,
