row_label_raw,row_label_full,col_0,Máy móc thiết bịVND,Phương tiện vận tải truyền dẫnVND,CộngVND,numeric__Máy móc thiết bịVND,numeric__Phương tiện vận tải truyền dẫnVND,numeric__CộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
01/01/2023,NGUYÊN GIÁ > 01/01/2023,01/01/2023,84.547.111.179,19.637.641.249,104.184.752.428,84547111179.0,19637641249.0,104184752428.0
- Thuê tài chính trong năm,NGUYÊN GIÁ > - Thuê tài chính trong năm,- Thuê tài chính trong năm,4.732.948.148,2.411.758.181,7.144.706.329,4732948148.0,2411758181.0,7144706329.0
- Mua lại TSCĐ thuê tài chính,NGUYÊN GIÁ > - Mua lại TSCĐ thuê tài chính,- Mua lại TSCĐ thuê tài chính,(3.614.318.182),(1.245.481.818),(4.859.800.000),-3614318182.0,-1245481818.0,-4859800000.0
31/12/2023,NGUYÊN GIÁ > 31/12/2023,31/12/2023,85.665.741.145,20.803.917.612,106.469.658.757,85665741145.0,20803917612.0,106469658757.0
HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,,,
01/01/2023,HAO MÒN LỦY KẾ > 01/01/2023,01/01/2023,(21.487.291.546),(4.783.577.437),(26.270.868.983),-21487291546.0,-4783577437.0,-26270868983.0
- Khấu hao trong năm,HAO MÒN LỦY KẾ > - Khấu hao trong năm,- Khấu hao trong năm,(14.488.864.957),(3.869.180.357),(18.358.045.314),-14488864957.0,-3869180357.0,-18358045314.0
- Mua lại TSCĐ thuê tài chính,HAO MÒN LỦY KẾ > - Mua lại TSCĐ thuê tài chính,- Mua lại TSCĐ thuê tài chính,2.746.996.794,1.215.497.996,3.962.494.790,2746996794.0,1215497996.0,3962494790.0
31/12/2023,HAO MÒN LỦY KẾ > 31/12/2023,31/12/2023,(33.229.159.709),(7.437.259.798),(40.666.419.507),-33229159709.0,-7437259798.0,-40666419507.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
01/01/2023,GIÁ TRỊ CÒN LẠI > 01/01/2023,01/01/2023,63.059.819.633,14.854.063.812,77.913.883.445,63059819633.0,14854063812.0,77913883445.0
31/12/2023,GIÁ TRỊ CÒN LẠI > 31/12/2023,31/12/2023,52.436.581.436,13.366.657.814,65.803.239.250,52436581436.0,13366657814.0,65803239250.0
