row_label_raw,row_label_full,Chỉ tiêu,Mã số,Thuyết minh,Năm 2023 VND,Năm 2022 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2023 VND,numeric__Năm 2022 VND
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,25,5.586.522.143.460,5.428.383.793.955,1.0,25.0,5586522143460.0,5428383793955.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,25,2.920.905.154,128.272.857,2.0,25.0,2920905154.0,128272857.0
3. Doanh thu thuần bán hàng và cung cấp dịch vụ,3. Doanh thu thuần bán hàng và cung cấp dịch vụ,3. Doanh thu thuần bán hàng và cung cấp dịch vụ,10,,5.583.601.238.306,5.428.255.521.098,10.0,,5583601238306.0,5428255521098.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,26,4.408.292.433.992,3.756.411.721.396,11.0,26.0,4408292433992.0,3756411721396.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,1.175.308.804.314,1.671.843.799.702,20.0,,1175308804314.0,1671843799702.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,27,571.957.534.305,3.556.748.402.817,21.0,27.0,571957534305.0,3556748402817.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,28,893.787.767.347,904.793.301.070,22.0,28.0,893787767347.0,904793301070.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,741.783.707.596,661.433.510.941,23.0,,741783707596.0,661433510941.0
"8. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","8. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","8. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",24,,262.907.865.715,277.426.119.952,24.0,,262907865715.0,277426119952.0
9. Chi phí bán hàng,9. Chi phí bán hàng,9. Chi phí bán hàng,25,29,103.377.726,90.503.170,25.0,29.0,103377726.0,90503170.0
10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,26,29,404.588.855.525,2.359.106.398.167,26.0,29.0,404588855525.0,2359106398167.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Lợi nhuận thuần từ hoạt động kinh doanh,30,,711.694.203.736,2.242.028.120.064,30.0,,711694203736.0,2242028120064.0
12. Thu nhập khác,12. Thu nhập khác,12. Thu nhập khác,31,30,37.752.357.338,41.950.988.470,31.0,30.0,37752357338.0,41950988470.0
13. Chi phí khác,13. Chi phí khác,13. Chi phí khác,32,31,54.979.554.086,108.082.182.262,32.0,31.0,54979554086.0,108082182262.0
14. Lợi nhuận khác,14. Lợi nhuận khác,14. Lợi nhuận khác,40,,(17.227.196.748),(66.131.193.792),40.0,,-17227196748.0,-66131193792.0
15. Tổng lợi nhuận kế toán trước thuế,15. Tổng lợi nhuận kế toán trước thuế,15. Tổng lợi nhuận kế toán trước thuế,50,,694.467.006.988,2.175.896.926.272,50.0,,694467006988.0,2175896926272.0
16. Chi phí thuế TNDN hiện hành,16. Chi phí thuế TNDN hiện hành,16. Chi phí thuế TNDN hiện hành,51,,124.922.253.421,334.846.215.803,51.0,,124922253421.0,334846215803.0
17. Chi phí thuế TNDN hoãn lại,17. Chi phí thuế TNDN hoãn lại,17. Chi phí thuế TNDN hoãn lại,52,,54.375.443.272,24.534.466.191,52.0,,54375443272.0,24534466191.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,515.169.310.295,1.816.516.244.278,60.0,,515169310295.0,1816516244278.0
19. Lợi nhuận sau thuế của công ty mẹ,19. Lợi nhuận sau thuế của công ty mẹ,19. Lợi nhuận sau thuế của công ty mẹ,61,,431.581.723.870,1.521.499.883.561,61.0,,431581723870.0,1521499883561.0
20. Lợi nhuận sau thuế của cổ đông không kiểm soát,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,83.587.586.425,295.016.360.717,62.0,,83587586425.0,295016360717.0
21. Lãi cơ bản trên cổ phiếu,21. Lãi cơ bản trên cổ phiếu,21. Lãi cơ bản trên cổ phiếu,70,32,960,3.349,70.0,32.0,960.0,3349.0
22. Lãi suy giảm trên cổ phiếu,22. Lãi suy giảm trên cổ phiếu,22. Lãi suy giảm trên cổ phiếu,71,33,960,3.349,71.0,33.0,960.0,3349.0
