row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,31/12/2023VND,01/01/2023VND,numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2023VND,numeric__01/01/2023VND
A - NỘ PHẢI TRẢ,A - NỘ PHẢI TRẢ,A - NỘ PHẢI TRẢ,A - NỘ PHẢI TRẢ,300,,13.696.271.585.686,14.547.325.664.273,,300.0,,13696271585686.0,14547325664273.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,,9.175.412.531.511,9.031.172.896.419,,310.0,,9175412531511.0,9031172896419.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,17,1.190.803.457.685,1.484.338.057.457,,311.0,17.0,1190803457685.0,1484338057457.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,18,915.814.661.504,928.698.272.858,,312.0,18.0,915814661504.0,928698272858.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,19,253.442.595.101,322.490.387.380,,313.0,19.0,253442595101.0,322490387380.0
4.,4.,4.,Phải trả người lao động,314,,169.301.104.933,199.781.679.714,,314.0,,169301104933.0,199781679714.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,20,1.181.508.746.118,1.031.034.613.442,,315.0,20.0,1181508746118.0,1031034613442.0
6.,6.,6.,Phải trả nội bộ ngắn hạn,316,,-,-,,316.0,,,
7.,7.,7.,Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,,-,-,,317.0,,,
8.,8.,8.,Doanh thu chưa thực hiện ngắn hạn,318,21,82.411.260.083,42.111.570.638,,318.0,21.0,82411260083.0,42111570638.0
9.,9.,9.,Phải trả ngắn hạn khác,319,22,1.653.833.135.940,1.274.848.020.784,,319.0,22.0,1653833135940.0,1274848020784.0
10.,10.,10.,Vay và nợ thuê tài chính ngắn hạn,320,23,3.688.940.418.370,3.716.358.364.719,,320.0,23.0,3688940418370.0,3716358364719.0
11.,11.,11.,Dự phòng phải trả ngắn hạn,321,,-,-,,321.0,,,
12.,12.,12.,"Quỹ khen thưởng, phúc lợi",322,,39.357.151.777,31.511.929.427,,322.0,,39357151777.0,31511929427.0
13.,13.,13.,Quỹ bình ổn giá,323,,-,-,,323.0,,,
14.,14.,14.,Giao dịch mua bán lại trái phiếu Chính phủ,324,,-,-,,324.0,,,
II. Nợ dài hạn,II. Nợ dài hạn,II. Nợ dài hạn,II. Nợ dài hạn,330,,4.520.859.054.175,5.516.152.767.854,,330.0,,4520859054175.0,5516152767854.0
1.,1.,1.,Phải trả người bán dài hạn,331,17,319.865.586.743,361.611.319.329,,331.0,17.0,319865586743.0,361611319329.0
2.,2.,2.,Người mua trả tiền trước dài hạn,332,,-,-,,332.0,,,
3.,3.,3.,Chi phí phải trả dài hạn,333,,-,-,,333.0,,,
4.,4.,4.,Phải trả nội bộ về vốn kinh doanh,334,,-,-,,334.0,,,
5.,5.,5.,Phải trả nội bộ dài hạn,335,,-,-,,335.0,,,
6.,6.,6.,Doanh thu chưa thực hiện dài hạn,336,21,99.857.011.256,112.215.099.886,,336.0,21.0,99857011256.0,112215099886.0
7.,7.,7.,Phải trả dài hạn khác,337,22,263.817.039.455,717.608.536.127,,337.0,22.0,263817039455.0,717608536127.0
8.,8.,8.,Vay và nợ thuê tài chính dài hạn,338,23,3.660.471.064.113,4.278.881.025.473,,338.0,23.0,3660471064113.0,4278881025473.0
9.,9.,9.,Trái phiếu chuyển đổi,339,,-,-,,339.0,,,
10.,10.,10.,Cổ phiếu ưu đãi,340,,-,-,,340.0,,,
11.,11.,11.,Thuế thu nhập doanh nghiệp hoãn lại phải trả,341,,176.848.352.608,45.836.787.039,,341.0,,176848352608.0,45836787039.0
12.,12.,12.,Dự phòng phải trả dài hạn,342,,-,-,,342.0,,,
13.,13.,13.,Quỹ phát triển khoa học và công nghệ,343,,-,-,,343.0,,,
