row_label_raw,row_label_full,Nội dung,31/12/2023 > Giá trịVND,31/12/2023 > Số có khả năng trả nợVND,01/01/2023 > Giá trịVND,01/01/2023 > Số có khả năng trả nợVND,numeric__31/12/2023 > Giá trịVND,numeric__31/12/2023 > Số có khả năng trả nợVND,numeric__01/01/2023 > Giá trịVND,numeric__01/01/2023 > Số có khả năng trả nợVND
a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,3.688.940.418.370,3.688.940.418.370,3.716.358.364.719,3.716.358.364.719,3688940418370.0,3688940418370.0,3716358364719.0,3716358364719.0
Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,1.218.881.174.964,1.218.881.174.964,1.637.710.447.849,1.637.710.447.849,1218881174964.0,1218881174964.0,1637710447849.0,1637710447849.0
Vay các tổ chức và cá nhân khác,Vay các tổ chức và cá nhân khác,Vay các tổ chức và cá nhân khác,20.802.222.391,20.802.222.391,27.937.882.082,27.937.882.082,20802222391.0,20802222391.0,27937882082.0,27937882082.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,2.449.257.021.015,2.449.257.021.015,2.050.710.034.788,2.050.710.034.788,2449257021015.0,2449257021015.0,2050710034788.0,2050710034788.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,2.435.350.748.487,2.435.350.748.487,2.025.890.621.962,2.025.890.621.962,2435350748487.0,2435350748487.0,2025890621962.0,2025890621962.0
Nợ thuê tài chính đến hạn trả,Nợ thuê tài chính đến hạn trả,Nợ thuê tài chính đến hạn trả,13.906.272.528,13.906.272.528,24.819.412.826,24.819.412.826,13906272528.0,13906272528.0,24819412826.0,24819412826.0
b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,3.660.471.064.113,3.660.471.064.113,4.278.881.025.473,4.278.881.025.473,3660471064113.0,3660471064113.0,4278881025473.0,4278881025473.0
Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,3.644.333.633.117,3.644.333.633.117,4.253.771.603.034,4.253.771.603.034,3644333633117.0,3644333633117.0,4253771603034.0,4253771603034.0
Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,16.137.430.996,16.137.430.996,25.109.422.439,25.109.422.439,16137430996.0,16137430996.0,25109422439.0,25109422439.0
Cộng,Cộng,Cộng,7.349.411.482.483,7.349.411.482.483,7.995.239.390.192,7.995.239.390.192,7349411482483.0,7349411482483.0,7995239390192.0,7995239390192.0
