row_label_raw,row_label_full,Số đầu năm,Năm 2023VND > 2.198.427.913.166,Năm 2022VND > 333.709.533.898,numeric__Năm 2023VND > 2.198.427.913.166,numeric__Năm 2022VND > 333.709.533.898
Trích lập dự phòng bổ sung,Trích lập dự phòng bổ sung,Trích lập dự phòng bổ sung,161.250.488.326,1.882.846.503.604,161250488326.0,1882846503604.0
Hoàn nhập dự phòng,Hoàn nhập dự phòng,Hoàn nhập dự phòng,(252.861.968.863),(18.128.124.336),-252861968863.0,-18128124336.0
Số cuối năm,Số cuối năm,Số cuối năm,2.106.816.432.629,2.198.427.913.166,2106816432629.0,2198427913166.0
