row_label_raw,row_label_full,Chỉ tiêu,An Giang,Đồng Tháp,Khu vực khác,Tổng cộng,An Giang_1,Đồng Tháp_1,Khu vực khác_1,Tổng cộng_1,numeric__An Giang,numeric__Đồng Tháp,numeric__Khu vực khác,numeric__Tổng cộng,numeric__An Giang_1,numeric__Đồng Tháp_1,numeric__Khu vực khác_1,numeric__Tổng cộng_1
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,8.086.299.796.521,9.602.436.195.894,440.289.007.721,18.129.025.000.136,8.152.923.630.550,8.512.331.081.788,475.987.442.317,17.141.242.154.655,8086299796521.0,9602436195894.0,440289007721.0,18129025000136.0,8152923630550.0,8512331081788.0,475987442317.0,17141242154655.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,957.320.264.655,,,,1.027.871.775.745,,,,957320264655.0,,,,1027871775745.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,8.086.299.796.521,9.602.436.195.894,440.289.007.721,19.086.345.264.791,8.152.923.630.550,8.512.331.081.788,475.987.442.317,18.169.113.930.400,8086299796521.0,9602436195894.0,440289007721.0,19086345264791.0,8152923630550.0,8512331081788.0,475987442317.0,18169113930400.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,5.768.676.514.122,4.807.691.973.897,487.869.966.869,11.064.238.454.888,5.283.464.324.366,4.519.980.400.450,543.372.903.453,10.346.817.628.269,5768676514122.0,4807691973897.0,487869966869.0,11064238454888.0,5283464324366.0,4519980400450.0,543372903453.0,10346817628269.0
Nợp phải trả không phân bổ,Nợp phải trả không phân bổ,Nợp phải trả không phân bổ,,,,182.288.585.380,,,,245.956.551.672,,,,182288585380.0,,,,245956551672.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,5.768.676.514.122,4.807.691.973.897,487.869.966.869,11.246.527.040.268,5.283.464.324.366,4.519.980.400.450,543.372.903.453,10.592.774.179.941,5768676514122.0,4807691973897.0,487869966869.0,11246527040268.0,5283464324366.0,4519980400450.0,543372903453.0,10592774179941.0
b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,,,,,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,,,Điện mặt trời,Bất động sản,Xây dựng,Thương mại,Doanh thu khác,Tổng,,,,,,,,
Năm nay,Năm nay,Năm nay,,,,,,,,,,,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm nay > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,,,608.972.859.053,315.974.109.789,,3.365.534.880.976,9.458.740.121.872,13.749.221.971.690,,,608972859053.0,315974109789.0,,3365534880976.0,9458740121872.0,13749221971690.0
