row_label_raw,row_label_full,"TANG, GIAM TAI SAN CO ĐỊNH HUU HINH","TANG, GIAM TAI SAN CO ĐỊNH HUU HINH_1","TANG, GIAM TAI SAN CO ĐỊNH HUU HINH_2","TANG, GIAM TAI SAN CO ĐỊNH HUU HINH_3","TANG, GIAM TAI SAN CO ĐỊNH HUU HINH_4","TANG, GIAM TAI SAN CO ĐỊNH HUU HINH_5","TANG, GIAM TAI SAN CO ĐỊNH HUU HINH_6","numeric__TANG, GIAM TAI SAN CO ĐỊNH HUU HINH_1","numeric__TANG, GIAM TAI SAN CO ĐỊNH HUU HINH_2","numeric__TANG, GIAM TAI SAN CO ĐỊNH HUU HINH_3","numeric__TANG, GIAM TAI SAN CO ĐỊNH HUU HINH_4","numeric__TANG, GIAM TAI SAN CO ĐỊNH HUU HINH_5","numeric__TANG, GIAM TAI SAN CO ĐỊNH HUU HINH_6"
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải, truyền dẫn",Thiết bị quản lý,TSCĐ khác,Cộng,,,,,,
I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,,,,,,
1. Số dư đầu năm,I. Nguyên giá > 1. Số dư đầu năm,1. Số dư đầu năm,1.648.158.119.496,4.394.169.154.192,76.822.543.864,34.215.673.727,107.706.771.783,6.261.072.263.062,1648158119496.0,4394169154192.0,76822543864.0,34215673727.0,107706771783.0,6261072263062.0
2. Số tăng trong năm,I. Nguyên giá > 2. Số tăng trong năm,2. Số tăng trong năm,268.408.336.902,62.554.729.473,14.968.680.102,2.378.936.004,461.274.300,348.771.956.781,268408336902.0,62554729473.0,14968680102.0,2378936004.0,461274300.0,348771956781.0
- Mua trong năm,I. Nguyên giá > - Mua trong năm,- Mua trong năm,45.477.655.273,5.172.498.218,6.364.828.775,2.196.500.820,461.274.300,59.672.757.386,45477655273.0,5172498218.0,6364828775.0,2196500820.0,461274300.0,59672757386.0
- Đầu tư XDCB hoàn thành,I. Nguyên giá > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,222.930.681.629,2.262.512.927,,182 435 184,,225.375.629.740,222930681629.0,2262512927.0,,,,225375629740.0
- Mua lại TSCĐ thuê tài chính,I. Nguyên giá > - Mua lại TSCĐ thuê tài chính,- Mua lại TSCĐ thuê tài chính,,55.119.718.328,,,,55.119.718.328,,55119718328.0,,,,55119718328.0
- Tăng khác,I. Nguyên giá > - Tăng khác,- Tăng khác,,,8.603.851.327,,,8.603.851.327,,,8603851327.0,,,8603851327.0
3. Số giảm trong năm,I. Nguyên giá > 3. Số giảm trong năm,3. Số giảm trong năm,,442.559.101.327,,122.164.000,,442.681.265.327,,442559101327.0,,122164000.0,,442681265327.0
"- Thanh lý, nhượng bán","I. Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",,433.955.250.000,,122.164.000,,434.077.414.000,,433955250000.0,,122164000.0,,434077414000.0
4. Số dư cuối năm,I. Nguyên giá > 4. Số dư cuối năm,4. Số dư cuối năm,1.916.566.456.398,4.014.164.782.338,91.791.223.966,36.472.445.731,108.168.046.083,6.167.162.954.516,1916566456398.0,4014164782338.0,91791223966.0,36472445731.0,108168046083.0,6167162954516.0
II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,,,,,,
1. Số dư đầu năm,II. Giá trị hao mòn luỹ kế > 1. Số dư đầu năm,1. Số dư đầu năm,251.861.830.236,724.147.767.608,57.181.314.121,12.284.466.511,17.910.646.237,1.063.386.024.713,251861830236.0,724147767608.0,57181314121.0,12284466511.0,17910646237.0,1063386024713.0
2. Khấu hao trong năm,II. Giá trị hao mòn luỹ kế > 2. Khấu hao trong năm,2. Khấu hao trong năm,79.889.541.342,210.650.435.908,12.352.972.169,2.945.320.293,4.067.141.838,309.905.411.550,79889541342.0,210650435908.0,12352972169.0,2945320293.0,4067141838.0,309905411550.0
- Khấu hao trong năm,II. Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,79.889.541.342,190.161.633.081,6.419.675.066,2.945.320.293,968.103.274,280.384.273.056,79889541342.0,190161633081.0,6419675066.0,2945320293.0,968103274.0,280384273056.0
- Mua lại TSCĐ thuê tài chính,II. Giá trị hao mòn luỹ kế > - Mua lại TSCĐ thuê tài chính,- Mua lại TSCĐ thuê tài chính,,20.488.802.827,,,,20.488.802.827,,20488802827.0,,,,20488802827.0
- Tăng khác,II. Giá trị hao mòn luỹ kế > - Tăng khác,- Tăng khác,,,5.933.297.103,,3.099.038.564,9.032.335.667,,,5933297103.0,,3099038564.0,9032335667.0
3. Giảm trong năm,II. Giá trị hao mòn luỹ kế > 3. Giảm trong năm,3. Giảm trong năm,3.209.730,102.728.659.603,,116.873.143,,102.848.742.476,3209730.0,102728659603.0,,116873143.0,,102848742476.0
"- Thanh lý, nhượng bán","II. Giá trị hao mòn luỹ kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",,96.798.572.230,,116.873.143,,96.915.445.373,,96798572230.0,,116873143.0,,96915445373.0
- Giảm khác,II. Giá trị hao mòn luỹ kế > - Giảm khác,- Giảm khác,3.209.730,5.930.087.373,,,,5.933.297.103,3209730.0,5930087373.0,,,,5933297103.0
4. Số dư cuối năm,II. Giá trị hao mòn luỹ kế > 4. Số dư cuối năm,4. Số dư cuối năm,331.748.161.848,832.069.543.913,69.534.286.290,15.112.913.661,21.977.788.075,1.270.442.693.787,331748161848.0,832069543913.0,69534286290.0,15112913661.0,21977788075.0,1270442693787.0
III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,,,,,,
1. Tại ngày đầu năm,III. Giá trị còn lại > 1. Tại ngày đầu năm,1. Tại ngày đầu năm,1.396.296.289.260,3.670.021.386.584,19.641.229.743,21.931.207.216,89.796.125.546,5.197.686.238.349,1396296289260.0,3670021386584.0,19641229743.0,21931207216.0,89796125546.0,5197686238349.0
2. Tại ngày cuối năm,III. Giá trị còn lại > 2. Tại ngày cuối năm,2. Tại ngày cuối năm,1.584.818.294.550,3.182.095.238.425,22.256.937.676,21.359.532.070,86.190.258.008,4.896.720.260.729,1584818294550.0,3182095238425.0,22256937676.0,21359532070.0,86190258008.0,4896720260729.0
