row_label_raw,row_label_full,Chỉ tiêu,Năm nay > An Giang,Năm nay > Đồng Tháp,Năm nay > Khu vực khác,Năm nay > Tổng cộng,Nam trước > An Giang,Nam trước > Đồng Tháp,Nam trước > Khu vực khác,Nam trước > Tổng cộng,numeric__Năm nay > An Giang,numeric__Năm nay > Đồng Tháp,numeric__Năm nay > Khu vực khác,numeric__Năm nay > Tổng cộng,numeric__Nam trước > An Giang,numeric__Nam trước > Đồng Tháp,numeric__Nam trước > Khu vực khác,numeric__Nam trước > Tổng cộng
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,3.535.261.681.153,9.924.059.443.405,289.900.847.132,13.749.221.971.690,3.897.737.569.635,7.202.067.725.714,298.120.617.105,11.397.925.912.454,3535261681153.0,9924059443405.0,289900847132.0,13749221971690.0,3897737569635.0,7202067725714.0,298120617105.0,11397925912454.0
Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,3.535.261.681.153,9.924.059.443.405,289.900.847.132,13.749.221.971.690,3.897.737.569.635,7.202.067.725.714,298.120.617.105,11.397.925.912.454,3535261681153.0,9924059443405.0,289900847132.0,13749221971690.0,3897737569635.0,7202067725714.0,298120617105.0,11397925912454.0
Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,533.864.761.330,1.228.966.460.477,183.427.864.821,1.946.259.086.628,569.382.201.213,567.930.241.665,162.302.411.273,1.299.614.854.151,533864761330.0,1228966460477.0,183427864821.0,1946259086628.0,569382201213.0,567930241665.0,162302411273.0,1299614854151.0
Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,(617.323.028.523),,,,(427.715.706.066),,,,-617323028523.0,,,,-427715706066.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,1.328.936.058.105,,,,871.899.148.085,,,,1328936058105.0,,,,871899148085.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,280.672.224.103,,,,200.488.549.062,,,,280672224103.0,,,,200488549062.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,(564.524.518.008),,,,(463.008.189.278),,,,-564524518008.0,,,,-463008189278.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,30.097.845.897,,,,207.770.163.024,,,,30097845897.0,,,,207770163024.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,(13.197.479.582),,,,(30.853.379.096),,,,-13197479582.0,,,,-30853379096.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,(95.246.434.355),,,,(85.280.470.589),,,,-95246434355.0,,,,-85280470589.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,(4.152.950.854),,,,2.871.797.402,,,,-4152950854.0,,,,2871797402.0
Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,962.584.745.306,,,,703.887.618.610,,,,962584745306.0,,,,703887618610.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,,(1.483.221.303.360),,,,(610.485.950.432),,,,-1483221303360.0,,,,-610485950432.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,,,,(412.832.468.632),,,,(412.663.425.454),,,,-412832468632.0,,,,-412663425454.0
