row_label_raw,row_label_full,col_0,Vốn góp của CSH,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Các quỹ thuộc vốn chủ sở hữu,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Nguồn kính phí và quỹ khác,Cộng,numeric__Vốn góp của CSH,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Các quỹ thuộc vốn chủ sở hữu,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Nguồn kính phí và quỹ khác,numeric__Cộng
Cho năm tài chính 2021 kết thúc ngày 31/12/2021,Cho năm tài chính 2021 kết thúc ngày 31/12/2021,Cho năm tài chính 2021 kết thúc ngày 31/12/2021,Cho năm tài chính 2021 kết thúc ngày 31/12/2021,Cho năm tài chính 2021 kết thúc ngày 31/12/2021,Cho năm tài chính 2021 kết thúc ngày 31/12/2021,Cho năm tài chính 2021 kết thúc ngày 31/12/2021,Cho năm tài chính 2021 kết thúc ngày 31/12/2021,Cho năm tài chính 2021 kết thúc ngày 31/12/2021,Cho năm tài chính 2021 kết thúc ngày 31/12/2021,Cho năm tài chính 2021 kết thúc ngày 31/12/2021,,,,,,,,
Tại ngày 01/01/2021,Cho năm tài chính 2021 kết thúc ngày 31/12/2021 > Tại ngày 01/01/2021,Tại ngày 01/01/2021,2.588.678.490.000,45.104.200.000,272.989.640.875,116.193.777.252,1.467.675.428.369,2.374.731.315.325,6.735.654.500,6.872.108.506.321,2588678490000.0,45104200000.0,272989640875.0,116193777252.0,1467675428369.0,2374731315325.0,6735654500.0,6872108506321.0
Lãi trong năm trước,Cho năm tài chính 2021 kết thúc ngày 31/12/2021 > Lãi trong năm trước,Lãi trong năm trước,,,,,600.436.710.886,103.450.907.724,,703.887.618.610,,,,,600436710886.0,103450907724.0,,703887618610.0
Tăng do trích từ lợi nhuận,Cho năm tài chính 2021 kết thúc ngày 31/12/2021 > Tăng do trích từ lợi nhuận,Tăng do trích từ lợi nhuận,,,,15.259.524.036,,,,15.259.524.036,,,,15259524036.0,,,,15259524036.0
Tăng khác,Cho năm tài chính 2021 kết thúc ngày 31/12/2021 > Tăng khác,Tăng khác,,,,,1.275.370.864,2.173.887.965,894.366.700,4.343.625.529,,,,,1275370864.0,2173887965.0,894366700.0,4343625529.0
Trích quỹ từ lợi nhuận,Cho năm tài chính 2021 kết thúc ngày 31/12/2021 > Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,,,,,(17.439.288.670),(975.495.180),,(18.414.783.850),,,,,-17439288670.0,-975495180.0,,-18414783850.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,,,,,,,,,,,,,,,,
Giảm khác,Chia cổ tức > Giảm khác,Giảm khác,,,,,(844.740.187),,,(844.740.187),,,,,-844740187.0,,,-844740187.0
Tại ngày 31/12/2021,Chia cổ tức > Tại ngày 31/12/2021,Tại ngày 31/12/2021,2.588.678.490.000,45.104.200.000,272.989.640.875,131.453.301.288,2.051.103.481.262,2.479.380.615.834,7.630.021.200,7.576.339.750.459,2588678490000.0,45104200000.0,272989640875.0,131453301288.0,2051103481262.0,2479380615834.0,7630021200.0,7576339750459.0
Cho năm tài chính 2022 kết thúc ngày 31/12/2022,Cho năm tài chính 2022 kết thúc ngày 31/12/2022,Cho năm tài chính 2022 kết thúc ngày 31/12/2022,Cho năm tài chính 2022 kết thúc ngày 31/12/2022,Cho năm tài chính 2022 kết thúc ngày 31/12/2022,Cho năm tài chính 2022 kết thúc ngày 31/12/2022,Cho năm tài chính 2022 kết thúc ngày 31/12/2022,Cho năm tài chính 2022 kết thúc ngày 31/12/2022,Cho năm tài chính 2022 kết thúc ngày 31/12/2022,Cho năm tài chính 2022 kết thúc ngày 31/12/2022,Cho năm tài chính 2022 kết thúc ngày 31/12/2022,,,,,,,,
Tại ngày 01/01/2022,Cho năm tài chính 2022 kết thúc ngày 31/12/2022 > Tại ngày 01/01/2022,Tại ngày 01/01/2022,2.588.678.490.000,45.104.200.000,272.989.640.875,131.453.301.288,2.051.103.481.262,2.479.380.615.834,7.630.021.200,7.576.339.750.459,2588678490000.0,45104200000.0,272989640875.0,131453301288.0,2051103481262.0,2479380615834.0,7630021200.0,7576339750459.0
Lãi trong năm nay,Cho năm tài chính 2022 kết thúc ngày 31/12/2022 > Lãi trong năm nay,Lãi trong năm nay,,,,,628.390.227.095,334.194.518.211,,962.584.745.306,,,,,628390227095.0,334194518211.0,,962584745306.0
Tăng do trích từ lợi nhuận (1),Cho năm tài chính 2022 kết thúc ngày 31/12/2022 > Tăng do trích từ lợi nhuận (1),Tăng do trích từ lợi nhuận (1),776.589.030.000,,,,,,,776.589.030.000,776589030000.0,,,,,,,776589030000.0
Trích quỹ từ lợi nhuận,Cho năm tài chính 2022 kết thúc ngày 31/12/2022 > Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,,,,12.098.019.278,(14.098.019.278),,,(2.000.000.000),,,,12098019278.0,-14098019278.0,,,-2000000000.0
Vốn góp từ cổ đông công con,Cho năm tài chính 2022 kết thúc ngày 31/12/2022 > Vốn góp từ cổ đông công con,Vốn góp từ cổ đông công con,,,,,,15.500.000.000,,15.500.000.000,,,,,,15500000000.0,,15500000000.0
Mua công ty con mới,Cho năm tài chính 2022 kết thúc ngày 31/12/2022 > Mua công ty con mới,Mua công ty con mới,,,,,,1.498.758.358,,1.498.758.358,,,,,,1498758358.0,,1498758358.0
Trả cổ tức bằng cổ phiếu (2),Cho năm tài chính 2022 kết thúc ngày 31/12/2022 > Trả cổ tức bằng cổ phiếu (2),Trả cổ tức bằng cổ phiếu (2),,,68.725.740.101,,(68.725.740.101),,,,,,68725740101.0,,-68725740101.0,,,
Chia cổ tức (1),Cho năm tài chính 2022 kết thúc ngày 31/12/2022 > Chia cổ tức (1),Chia cổ tức (1),,,,,(1.281.379.158.000),,,(1.281.379.158.000),,,,,-1281379158000.0,,,-1281379158000.0
Chia cổ tức cho cổ đông không kiểm soát của Công ty con (3),Cho năm tài chính 2022 kết thúc ngày 31/12/2022 > Chia cổ tức cho cổ đông không kiểm soát của Công ty con (3),Chia cổ tức cho cổ đông không kiểm soát của Công ty con (3),,,,,,(209.948.265.500),,(209.948.265.500),,,,,,-209948265500.0,,-209948265500.0
Tại ngày 31/12/2022,Cho năm tài chính 2022 kết thúc ngày 31/12/2022 > Tại ngày 31/12/2022,Tại ngày 31/12/2022,3.365.267.520.000,45.104.200.000,341.715.380.976,143.551.320.566,1.314.266.286.158,2.619.650.131.723,10.263.385.100,7.839.818.224.523,3365267520000.0,45104200000.0,341715380976.0,143551320566.0,1314266286158.0,2619650131723.0,10263385100.0,7839818224523.0
