row_label_raw,row_label_full,14. PHÀI TRẢ NGƯỜI BÁN,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Đơn vị tính: VND Số đầu năm > Giá trị,Đơn vị tính: VND Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Đơn vị tính: VND Số đầu năm > Giá trị,numeric__Đơn vị tính: VND Số đầu năm > Số có khả năng trả nợ
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,641.870.176.785,641.870.176.785,963.645.033.225,963.645.033.225,641870176785.0,641870176785.0,963645033225.0,963645033225.0
Bên khác,Bên khác,Bên khác,,,,,,,,
+ Công ty TNHH MTV Chế Biến Bột Cá Kim Son,Bên khác > + Công ty TNHH MTV Chế Biến Bột Cá Kim Son,+ Công ty TNHH MTV Chế Biến Bột Cá Kim Son,15.528.161.000,15.528.161.000,52.723.343.000,52.723.343.000,15528161000.0,15528161000.0,52723343000.0,52723343000.0
+ Công ty CP Khai Anh Bình Thuận,Bên khác > + Công ty CP Khai Anh Bình Thuận,+ Công ty CP Khai Anh Bình Thuận,8.602.069.800,8.602.069.800,20.881.012.696,20.881.012.696,8602069800.0,8602069800.0,20881012696.0,20881012696.0
+ Công ty TNHH Trường Thắng,Bên khác > + Công ty TNHH Trường Thắng,+ Công ty TNHH Trường Thắng,1.721.859.580,1.721.859.580,2.363.078.946,2.363.078.946,1721859580.0,1721859580.0,2363078946.0,2363078946.0
+ Công ty STERLING AND WILSON PRIVATE LIMITED,Bên khác > + Công ty STERLING AND WILSON PRIVATE LIMITED,+ Công ty STERLING AND WILSON PRIVATE LIMITED,24.876.982.503,24.876.982.503,24.876.982.503,24.876.982.503,24876982503.0,24876982503.0,24876982503.0,24876982503.0
+ Công ty CP Nông Sản Tràng An,Bên khác > + Công ty CP Nông Sản Tràng An,+ Công ty CP Nông Sản Tràng An,17.464.845.000,17.464.845.000,26.335.789.100,26.335.789.100,17464845000.0,17464845000.0,26335789100.0,26335789100.0
"+ Công ty CP EPC Điện Mặt Trời Việt Nam Co.,Ltd","Bên khác > + Công ty CP EPC Điện Mặt Trời Việt Nam Co.,Ltd","+ Công ty CP EPC Điện Mặt Trời Việt Nam Co.,Ltd",,,39.723.651.429,39.723.651.429,,,39723651429.0,39723651429.0
+ Công ty TNHH CARGILL VIỆT NAM,Bên khác > + Công ty TNHH CARGILL VIỆT NAM,+ Công ty TNHH CARGILL VIỆT NAM,,,25.452.530.380,25.452.530.380,,,25452530380.0,25452530380.0
+ Công ty CP Xây Lắp Điện Miền Nam,Bên khác > + Công ty CP Xây Lắp Điện Miền Nam,+ Công ty CP Xây Lắp Điện Miền Nam,,,7.546.845.521,7.546.845.521,,,7546845521.0,7546845521.0
+ Công ty TNHH MTV Thái Thị Thu Hạnh,Bên khác > + Công ty TNHH MTV Thái Thị Thu Hạnh,+ Công ty TNHH MTV Thái Thị Thu Hạnh,6.954.040.200,6.954.040.200,10.525.802.572,10.525.802.572,6954040200.0,6954040200.0,10525802572.0,10525802572.0
+ Công ty TNHH SX & TM Vận Tài Việt Nam,Bên khác > + Công ty TNHH SX & TM Vận Tài Việt Nam,+ Công ty TNHH SX & TM Vận Tài Việt Nam,,,22.486.806.170,22.486.806.170,,,22486806170.0,22486806170.0
+ Công ty TNHH MTV Tiếp Vận và Thương Mại Ocean Ship,Bên khác > + Công ty TNHH MTV Tiếp Vận và Thương Mại Ocean Ship,+ Công ty TNHH MTV Tiếp Vận và Thương Mại Ocean Ship,52.544.744.081,52.544.744.081,,,52544744081.0,52544744081.0,,
+ Công ty CP Xuất Khẩu Thủy Hải Sản Sạch,Bên khác > + Công ty CP Xuất Khẩu Thủy Hải Sản Sạch,+ Công ty CP Xuất Khẩu Thủy Hải Sản Sạch,151.181.537.395,151.181.537.395,126.319.887.595,126.319.887.595,151181537395.0,151181537395.0,126319887595.0,126319887595.0
+ Châu Vĩnh Viễn (Quyền sử dụng đất Cà Mau),Bên khác > + Châu Vĩnh Viễn (Quyền sử dụng đất Cà Mau),+ Châu Vĩnh Viễn (Quyền sử dụng đất Cà Mau),50.000.200,50.000.200,84.533.000.200,84.533.000.200,50000200.0,50000200.0,84533000200.0,84533000200.0
+ Nguyễn Tấn Đãm (Quyền sử dụng đất Cà Mau),Bên khác > + Nguyễn Tấn Đãm (Quyền sử dụng đất Cà Mau),+ Nguyễn Tấn Đãm (Quyền sử dụng đất Cà Mau),75.198.170.000,75.198.170.000,85.228.170.000,85.228.170.000,75198170000.0,75198170000.0,85228170000.0,85228170000.0
+ Nguyễn Thành Tân (Quyền sử dụng đất Cà Mau),Bên khác > + Nguyễn Thành Tân (Quyền sử dụng đất Cà Mau),+ Nguyễn Thành Tân (Quyền sử dụng đất Cà Mau),,,20.516.590.000,20.516.590.000,,,20516590000.0,20516590000.0
