row_label_raw,row_label_full,"Chi phí nguyên, vật liệu",3.665.535,999.237,numeric__3.665.535,numeric__999.237
"Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ",941.211.338,3.219.678.319,941211338.0,3219678319.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,24.752.333.212,32.589.379.697,24752333212.0,32589379697.0
Chi phí khấu hao,Chi phí khấu hao,Chi phí khấu hao,2.737.499.689,3.227.471.905,2737499689.0,3227471905.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,45.984.965.985,47.149.564.802,45984965985.0,47149564802.0
Chi phí vận chuyển hàng hoá,Chi phí vận chuyển hàng hoá,Chi phí vận chuyển hàng hoá,236.285.118.466,123.127.034.333,236285118466.0,123127034333.0
Các khoản chi phí bán hàng khác,Các khoản chi phí bán hàng khác,Các khoản chi phí bán hàng khác,60.233.816.879,27.505.962.822,60233816879.0,27505962822.0
Cộng,Cộng,Cộng,370.938.611.104,236.820.091.115,370938611104.0,236820091115.0
