row_label_raw,row_label_full,"Thanh lý, nhượng bán TSCĐ",15.825.000,7.963.909.091,numeric__15.825.000,numeric__7.963.909.091
Thu nhập từ cho thuê tài sản,Thu nhập từ cho thuê tài sản,Thu nhập từ cho thuê tài sản,15.128.726.532,,15128726532.0,
Tiền phạt thu được,Tiền phạt thu được,Tiền phạt thu được,2.002.166.459,2.562.555.161,2002166459.0,2562555161.0
Tiền thu hỗ trợ tín chỉ môi trường JCM -Quỹ Trung Tâm Môi Trường Toàn Cầu,Tiền thu hỗ trợ tín chỉ môi trường JCM -Quỹ Trung Tâm Môi Trường Toàn Cầu,Tiền thu hỗ trợ tín chỉ môi trường JCM -Quỹ Trung Tâm Môi Trường Toàn Cầu,,162.965.844.287,,162965844287.0
Các khoản khác,Các khoản khác,Các khoản khác,12.951.127.906,34.277.854.485,12951127906.0,34277854485.0
Cộng,Cộng,Cộng,30.097.845.897,207.770.163.024,30097845897.0,207770163024.0
