row_label_raw,row_label_full,VAY VÀ NỘ THUÊ TÀI CHÍNHa) Vay ngắn hạn,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
Vay ngắn hạn - VND,Vay ngắn hạn - VND,Vay ngắn hạn - VND,4.511.587.978.420,4.511.587.978.420,9.249.088.614.738,8.300.072.639.127,3.562.572.002.809,3.562.572.002.809,4511587978420.0,4511587978420.0,9249088614738.0,8300072639127.0,3562572002809.0,3562572002809.0
- Ngân hàng BIDV-KG,- Ngân hàng BIDV-KG,- Ngân hàng BIDV-KG,,,701.619.957.101,1.001.449.427.416,299.829.470.315,299.829.470.315,,,701619957101.0,1001449427416.0,299829470315.0,299829470315.0
- Ngân hàng BIDV-CN ĐồngBàng Sông Cửu Long,- Ngân hàng BIDV-CN ĐồngBàng Sông Cửu Long,- Ngân hàng BIDV-CN ĐồngBàng Sông Cửu Long,499.722.925.316,499.722.925.316,531.927.287.943,32.204.362.627,,,499722925316.0,499722925316.0,531927287943.0,32204362627.0,,
- Ngân hàng Tiến Phong,- Ngân hàng Tiến Phong,- Ngân hàng Tiến Phong,271.603.434.184,271.603.434.184,575.581.074.031,523.932.380.083,219.954.740.236,219.954.740.236,271603434184.0,271603434184.0,575581074031.0,523932380083.0,219954740236.0,219954740236.0
- Ngân hàng VP Bank Tp.HCM,- Ngân hàng VP Bank Tp.HCM,- Ngân hàng VP Bank Tp.HCM,275.812.625.534,275.812.625.534,853.403.985.800,827.744.158.766,250.152.798.500,250.152.798.500,275812625534.0,275812625534.0,853403985800.0,827744158766.0,250152798500.0,250152798500.0
- Ngân hàng TMCP Á Châu -CN An Giang,- Ngân hàng TMCP Á Châu -CN An Giang,- Ngân hàng TMCP Á Châu -CN An Giang,28.742.239.800,28.742.239.800,58.006.732.306,58.653.560.136,29.389.067.630,29.389.067.630,28742239800.0,28742239800.0,58006732306.0,58653560136.0,29389067630.0,29389067630.0
- Ngân hàng Phát TriểnTp.HCM,- Ngân hàng Phát TriểnTp.HCM,- Ngân hàng Phát TriểnTp.HCM,22.638.307.400,22.638.307.400,69.363.865.400,76.725.558.000,30.000.000.000,30.000.000.000,22638307400.0,22638307400.0,69363865400.0,76725558000.0,30000000000.0,30000000000.0
- Ngân hàng TMCP PhátTriển Tp HCM - Rạch DừaVũng Tàu,- Ngân hàng TMCP PhátTriển Tp HCM - Rạch DừaVũng Tàu,- Ngân hàng TMCP PhátTriển Tp HCM - Rạch DừaVũng Tàu,400.306.306.950,400.306.306.950,400.306.306.950,,,,400306306950.0,400306306950.0,400306306950.0,,,
- Ngân hàng VCB - Kiên Giang,- Ngân hàng VCB - Kiên Giang,- Ngân hàng VCB - Kiên Giang,15.151.810.950,15.151.810.950,32.378.066.868,34.486.293.418,17.260.037.500,17.260.037.500,15151810950.0,15151810950.0,32378066868.0,34486293418.0,17260037500.0,17260037500.0
- Ngân hàng Nam Á - Cần Thơ,- Ngân hàng Nam Á - Cần Thơ,- Ngân hàng Nam Á - Cần Thơ,33.043.420.000,33.043.420.000,136.125.981.195,133.034.929.685,29.952.368.490,29.952.368.490,33043420000.0,33043420000.0,136125981195.0,133034929685.0,29952368490.0,29952368490.0
- Ngân hàng Xăng Dầu - AnGiang,- Ngân hàng Xăng Dầu - AnGiang,- Ngân hàng Xăng Dầu - AnGiang,85.379.517.138,85.379.517.138,156.643.942.734,142.582.083.556,71.317.657.960,71.317.657.960,85379517138.0,85379517138.0,156643942734.0,142582083556.0,71317657960.0,71317657960.0
- Ngân hàng Ngoại thương,- Ngân hàng Ngoại thương,- Ngân hàng Ngoại thương,4.972.379.397,4.972.379.397,22.162.956.067,20.971.896.547,3.781.319.877,3.781.319.877,4972379397.0,4972379397.0,22162956067.0,20971896547.0,3781319877.0,3781319877.0
