row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị có thể thu hồi,Số đầu năm > Giá gốc,Số đầu năm > Giá trị có thể thu hồi,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị có thể thu hồi,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị có thể thu hồi
"+ LLC ""Sata Fish Ltd""","+ LLC ""Sata Fish Ltd""","+ LLC ""Sata Fish Ltd""",9.467.468.250,,9.467.468.250,,9467468250.0,,9467468250.0,
+ Alfredo Foods,+ Alfredo Foods,+ Alfredo Foods,9.073.064.061,,9.073.064.061,,9073064061.0,,9073064061.0,
+ Alliance Seafood Group,+ Alliance Seafood Group,+ Alliance Seafood Group,9.107.273.406,,9.107.273.406,,9107273406.0,,9107273406.0,
+ Lapson International Trading Ltd,+ Lapson International Trading Ltd,+ Lapson International Trading Ltd,6.885.734.871,,6.885.734.871,,6885734871.0,,6885734871.0,
+ Sarl Globe Alliance,+ Sarl Globe Alliance,+ Sarl Globe Alliance,7.104.351.914,,7.104.351.914,,7104351914.0,,7104351914.0,
+ Tian Ye Aquatic Products Co. Ltd,+ Tian Ye Aquatic Products Co. Ltd,+ Tian Ye Aquatic Products Co. Ltd,6.554.141.866,,6.554.141.866,,6554141866.0,,6554141866.0,
+ Công ty TNHH cơ diện tử Quang Huy BK,+ Công ty TNHH cơ diện tử Quang Huy BK,+ Công ty TNHH cơ diện tử Quang Huy BK,2.900.000.000,,2.900.000.000,,2900000000.0,,2900000000.0,
+ Công ty CP SATRA Thái Sơn,+ Công ty CP SATRA Thái Sơn,+ Công ty CP SATRA Thái Sơn,6.851.211.068,,6.974.620.468,,6851211068.0,,6974620468.0,
+ Đối tượng khác,+ Đối tượng khác,+ Đối tượng khác,8.765.585.572,,8.725.585.572,,8765585572.0,,8725585572.0,
Cộng,Cộng,Cộng,66.708.831.008,,66.792.240.408,,66708831008.0,,66792240408.0,
