row_label_raw,row_label_full,VAY VÀ NỘ THUÊ TÀI CHÍNH (tiếp theo),VAY VÀ NỘ THUÊ TÀI CHÍNH (tiếp theo)_1,VAY VÀ NỘ THUÊ TÀI CHÍNH (tiếp theo)_2,VAY VÀ NỘ THUÊ TÀI CHÍNH (tiếp theo)_3,VAY VÀ NỘ THUÊ TÀI CHÍNH (tiếp theo)_4,VAY VÀ NỘ THUÊ TÀI CHÍNH (tiếp theo)_5,VAY VÀ NỘ THUÊ TÀI CHÍNH (tiếp theo)_6,numeric__VAY VÀ NỘ THUÊ TÀI CHÍNH (tiếp theo)_1,numeric__VAY VÀ NỘ THUÊ TÀI CHÍNH (tiếp theo)_2,numeric__VAY VÀ NỘ THUÊ TÀI CHÍNH (tiếp theo)_3,numeric__VAY VÀ NỘ THUÊ TÀI CHÍNH (tiếp theo)_4,numeric__VAY VÀ NỘ THUÊ TÀI CHÍNH (tiếp theo)_5,numeric__VAY VÀ NỘ THUÊ TÀI CHÍNH (tiếp theo)_6
a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,Số cuối năm,Số cuối năm,Trong năm,Trong năm,Số đầu năm,Số đầu năm,,,,,,
a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,Giá trị,Số có khả năng trả nợ,Tăng,Giảm,Giá trị,Số có khả năng trả nợ,,,,,,
Nợ dài hạn đến hạn trả - VND,a) Vay ngắn hạn > Nợ dài hạn đến hạn trả - VND,Nợ dài hạn đến hạn trả - VND,300.828.137.043,300.828.137.043,300.828.137.043,,,,300828137043.0,300828137043.0,300828137043.0,,,
Bên khác,a) Vay ngắn hạn > Bên khác,Bên khác,300.828.137.043,300.828.137.043,300.828.137.043,,,,300828137043.0,300828137043.0,300828137043.0,,,
- Ngân hàng TMCP PhátTriển TP. HCM,a) Vay ngắn hạn > - Ngân hàng TMCP PhátTriển TP. HCM,- Ngân hàng TMCP PhátTriển TP. HCM,155.920.869.188,155.920.869.188,155.920.869.188,,,,155920869188.0,155920869188.0,155920869188.0,,,
- Đối tượng khác,a) Vay ngắn hạn > - Đối tượng khác,- Đối tượng khác,144.907.267.855,144.907.267.855,144.907.267.855,,,,144907267855.0,144907267855.0,144907267855.0,,,
Vay ngắn hạn - USD,a) Vay ngắn hạn > Vay ngắn hạn - USD,Vay ngắn hạn - USD,1.314.993.781.031,1.314.993.781.031,3.422.473.183.916,3.152.844.178.582,1.045.364.775.697,1.045.364.775.697,1314993781031.0,1314993781031.0,3422473183916.0,3152844178582.0,1045364775697.0,1045364775697.0
- Ngân hàng Á Châu CN ÔngÍch Khiêm,a) Vay ngắn hạn > - Ngân hàng Á Châu CN ÔngÍch Khiêm,- Ngân hàng Á Châu CN ÔngÍch Khiêm,110.348.415.000,110.348.415.000,132.827.952.200,137.084.410.800,114.604.873.600,114.604.873.600,110348415000.0,110348415000.0,132827952200.0,137084410800.0,114604873600.0,114604873600.0
- Ngân hàng Á Châu - CN Sa Đéc,a) Vay ngắn hạn > - Ngân hàng Á Châu - CN Sa Đéc,- Ngân hàng Á Châu - CN Sa Đéc,54.685.785.000,54.685.785.000,127.265.595.000,72.579.810.000,,,54685785000.0,54685785000.0,127265595000.0,72579810000.0,,
- CN Ngân Hàng TMCP ĐầuTu Và Phát Triển Kiên Giang,a) Vay ngắn hạn > - CN Ngân Hàng TMCP ĐầuTu Và Phát Triển Kiên Giang,- CN Ngân Hàng TMCP ĐầuTu Và Phát Triển Kiên Giang,831.241.654.500,831.241.654.500,1.447.476.310.303,1.221.994.096.203,605.759.440.400,605.759.440.400,831241654500.0,831241654500.0,1447476310303.0,1221994096203.0,605759440400.0,605759440400.0
"- NH TMCP Đầu tư và pháttriển Việt Nam, CN Phú Quốc","a) Vay ngắn hạn > - NH TMCP Đầu tư và pháttriển Việt Nam, CN Phú Quốc","- NH TMCP Đầu tư và pháttriển Việt Nam, CN Phú Quốc",191.258.743.500,191.258.743.500,326.582.894.000,240.003.882.300,104.679.731.800,104.679.731.800,191258743500.0,191258743500.0,326582894000.0,240003882300.0,104679731800.0,104679731800.0
- Ngân hàng TMCP Đầu tư vàPhát triển Việt Nam - CN BếnNghé,a) Vay ngắn hạn > - Ngân hàng TMCP Đầu tư vàPhát triển Việt Nam - CN BếnNghé,- Ngân hàng TMCP Đầu tư vàPhát triển Việt Nam - CN BếnNghé,,,41.287.850.928,104.527.432.325,63.239.581.397,63.239.581.397,,,41287850928.0,104527432325.0,63239581397.0,63239581397.0
- Ngân hàng TMCP CôngThương Đồng Tháp - Lắp Vò,a) Vay ngắn hạn > - Ngân hàng TMCP CôngThương Đồng Tháp - Lắp Vò,- Ngân hàng TMCP CôngThương Đồng Tháp - Lắp Vò,23.355.913.031,23.355.913.031,140.691.923.285,117.336.010.254,,,23355913031.0,23355913031.0,140691923285.0,117336010254.0,,
