row_label_raw,row_label_full,Tên công ty,Địa chỉ,Tỷ lệ lợi ích,Tỷ lệ lợi ích_1,Tỷ lệ quyền biểu quyết,Tỷ lệ quyền biểu quyết_1,numeric__Địa chỉ,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ lợi ích_1,numeric__Tỷ lệ quyền biểu quyết,numeric__Tỷ lệ quyền biểu quyết_1
Tên công ty,Tên công ty,Tên công ty,Địa chỉ,Số cuối năm,Số đầu năm,Số cuối năm,Số đầu năm,,,,,
+ Công ty cổ phầnDũng Thịnh Phát SàiGòn,Tên công ty > + Công ty cổ phầnDũng Thịnh Phát SàiGòn,+ Công ty cổ phầnDũng Thịnh Phát SàiGòn,"09 Nguyễn Kim, P12, Q5, TP.HCM","66,00%","66,00%","66,00%","66,00%",,0.66,0.66,0.66,0.66
+ Công ty CP Du LịchĐồng Tháp,Tên công ty > + Công ty CP Du LịchĐồng Tháp,+ Công ty CP Du LịchĐồng Tháp,"Số 06, Đốc Bình Kiều, Phường 2, TP. Cao Lãnh, Đồng Tháp","86,76%","86,76%","86,76%","86,76%",,0.8676,0.8676,0.8676,0.8676
+ Công ty CP NhựtHồng,Tên công ty > + Công ty CP NhựtHồng,+ Công ty CP NhựtHồng,"Số 29 Trần Hưng Đạo, P.Mỹ Thới, Tp.Long Xuyên, tỉnh An Giang","60,00%","60,00%","60,00%","60,00%",,0.6,0.6,0.6,0.6
+ Công ty CP Đầu TưTải Chính & TruyềnThông Quốc Tế,Tên công ty > + Công ty CP Đầu TưTải Chính & TruyềnThông Quốc Tế,+ Công ty CP Đầu TưTải Chính & TruyềnThông Quốc Tế,"326 Hùng Vương, P.Mỹ Long, Tp.Long Xuyên, An Giang","63,94%","63,94%","63,94%","63,94%",,0.6394,0.6394,0.6394,0.6394
+ Công ty CP Du LịchAn Giang,Tên công ty > + Công ty CP Du LịchAn Giang,+ Công ty CP Du LịchAn Giang,"Số 17 Nguyễn Văn Cung, P.Mỹ Long, TP.Long Xuyên, An Giang","71,82%","72,71%","71,82%","72,71%",,0.7182,0.7271,0.7182,0.7271
+ Công ty TNHH Sao Mai Super Feed,Tên công ty > + Công ty TNHH Sao Mai Super Feed,+ Công ty TNHH Sao Mai Super Feed,"QL 80, Cụm CN Vàm Công, ấp An Thạnh, xã Bình Thành, huyện Lắp Vò, Đồng Thán.","100,00%","100,00%","100,00%","100,00%",,1.0,1.0,1.0,1.0
+ Công ty TNHH TM Sao Mai Solar,Tên công ty > + Công ty TNHH TM Sao Mai Solar,+ Công ty TNHH TM Sao Mai Solar,"326 Hùng Vương, P.Mỹ Long, Tp.Long Xuyên, An Giang","100,00%","100,00%","100,00%","100,00%",,1.0,1.0,1.0,1.0
+ Công ty CP Đầu tư và Phát triển Đa Quốc Gia I.D.I,Tên công ty > + Công ty CP Đầu tư và Phát triển Đa Quốc Gia I.D.I,+ Công ty CP Đầu tư và Phát triển Đa Quốc Gia I.D.I,"QL80 CCN Vàm Công, Lắp Vò, Đồng Tháp","51,23%","51,23%","51,23%","51,23%",,0.5123,0.5123,0.5123,0.5123
+ Công ty CP Đầu tưDu lịch và Phát triểnThủy sân,Tên công ty > + Công ty CP Đầu tưDu lịch và Phát triểnThủy sân,+ Công ty CP Đầu tưDu lịch và Phát triểnThủy sân,"QL80 CCN Vàm Công, Lắp Vò, Đồng Tháp","43,95%","43,95%","82,67%","82,67%",,0.4395,0.4395,0.8267,0.8267
+ Công ty CP Điện MặtTrời EUROPLASTLong An,Tên công ty > + Công ty CP Điện MặtTrời EUROPLASTLong An,+ Công ty CP Điện MặtTrời EUROPLASTLong An,"Khu D, Xã Mỹ Thạnh Bắc, Huyện Đức Huệ, Tỉnh Long An","76,67%","76,67%","76,67%","76,67%",,0.7667,0.7667,0.7667,0.7667
+ Công ty CP Tư vấnvà Đầu tư Tài chính,Tên công ty > + Công ty CP Tư vấnvà Đầu tư Tài chính,+ Công ty CP Tư vấnvà Đầu tư Tài chính,"254/1 Hùng Vương, P.Mỹ Long, Tp.Long Xuyên, An Giang","53,83%","53,83%","91,95%","91,95%",,0.5383,0.5383,0.9195,0.9195
+ Công ty CP Đầu TưVĩnh An Đắk Nông (*),Tên công ty > + Công ty CP Đầu TưVĩnh An Đắk Nông (*),+ Công ty CP Đầu TưVĩnh An Đắk Nông (*),"Số 1, Tiểu khu 834, cụm 3tầng, xã Ea Pô, Huyện CưJút, Tỉnh Đắk Nông, ViệtNam","49,94%",,"97,50%",,,0.49939999999999996,,0.975,
