row_label_raw,row_label_full,14. PHẢI TRẢ NGƯỜI BÁN (tiếp theo),Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Đơn vị tính: VND Số đầu năm > Giá trị,Đơn vị tính: VND Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Đơn vị tính: VND Số đầu năm > Giá trị,numeric__Đơn vị tính: VND Số đầu năm > Số có khả năng trả nợ
+ Công ty Sinohydro,+ Công ty Sinohydro,+ Công ty Sinohydro,1.515.143.508,1.515.143.508,1.515.143.508,1.515.143.508,1515143508.0,1515143508.0,1515143508.0,1515143508.0
+ Đối tượng khác,+ Đối tượng khác,+ Đối tượng khác,286.232.623.518,286.232.623.518,412.616.399.605,412.616.399.605,286232623518.0,286232623518.0,412616399605.0,412616399605.0
Bên liên quan,Bên liên quan,Bên liên quan,,,,,,,,
b) Dài hạn,Bên liên quan > b) Dài hạn,b) Dài hạn,,,771.341.821.237,771.341.821.237,,,771341821237.0,771341821237.0
Bên khác,Bên khác,Bên khác,,,,,,,,
"+ Sumec Complete Equipment And Engineering Co.,Ltd","Bên khác > + Sumec Complete Equipment And Engineering Co.,Ltd","+ Sumec Complete Equipment And Engineering Co.,Ltd",,,771.341.821.237,771.341.821.237,,,771341821237.0,771341821237.0
Cộng,Bên khác > Cộng,Cộng,641.870.176.785,641.870.176.785,1.734.986.854.462,1.734.986.854.462,641870176785.0,641870176785.0,1734986854462.0,1734986854462.0
15. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC a) Phải nộp,15. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC a) Phải nộp,15. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC a) Phải nộp,Số cuối năm,Số phải nộp trong năm,Số đã thực nộp trong năm,Số đầu năm,,,,
Thuế giá trị gia tăng,15. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC a) Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,50.143.621.518,66.561.760.231,98.995.246.605,82.577.107.892,50143621518.0,66561760231.0,98995246605.0,82577107892.0
Thuế GTGT hàng nhập khẩu,15. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC a) Phải nộp > Thuế GTGT hàng nhập khẩu,Thuế GTGT hàng nhập khẩu,,5.969.387.335,5.969.387.335,,,5969387335.0,5969387335.0,
Thuế thu nhập doanh nghiệp,15. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC a) Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,125.749.839.239,95.249.053.926,56.929.816.910,87.430.602.223,125749839239.0,95249053926.0,56929816910.0,87430602223.0
Thuế thu nhập cá nhân,15. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC a) Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,43.108.308.208,40.354.576.087,2.528.254.261,5.281.986.382,43108308208.0,40354576087.0,2528254261.0,5281986382.0
Thuế nhà đất và tiền thuê đất,15. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC a) Phải nộp > Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,,3.049.297.820,3.049.297.820,,,3049297820.0,3049297820.0,
"Các khoản phí, lệ phí, thuế khác","15. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC a) Phải nộp > Các khoản phí, lệ phí, thuế khác","Các khoản phí, lệ phí, thuế khác",819.919.887,6.547.034.739,6.416.942.513,689.827.661,819919887.0,6547034739.0,6416942513.0,689827661.0
Cộng,15. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC a) Phải nộp > Cộng,Cộng,219.821.688.852,217.731.110.138,173.888.945.444,175.979.524.158,219821688852.0,217731110138.0,173888945444.0,175979524158.0
