row_label_raw,row_label_full,b) Phải thu > Thuế giá trị gia tăng,Số cuối năm > 2.309.395,Số phải thu trong năm,Số đã thực thu trong năm,Số đầu năm > 2.309.395,numeric__Số cuối năm > 2.309.395,numeric__Số phải thu trong năm,numeric__Số đã thực thu trong năm,numeric__Số đầu năm > 2.309.395
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,672.967.809,267.300.543,1.143.430.225,1.549.097.491,672967809.0,267300543.0,1143430225.0,1549097491.0
Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,1.146.538.670,1.146.538.670,,,1146538670.0,1146538670.0,,
"Các khoản phí, lệ phí, thuế khác","Các khoản phí, lệ phí, thuế khác","Các khoản phí, lệ phí, thuế khác",,,64.000.000,64.000.000,,,64000000.0,64000000.0
Cộng,Cộng,Cộng,1.821.815.874,1.413.839.213,1.207.430.225,1.615.406.886,1821815874.0,1413839213.0,1207430225.0,1615406886.0
