row_label_raw,row_label_full,Chỉ tiêu,Quyền sử dụng đất,Phần mềmvi tính,TSCĐvô hình khác,Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềmvi tính,numeric__TSCĐvô hình khác,numeric__Cộng
I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,,,,
1. Số dư đầu năm,I. Nguyên giá > 1. Số dư đầu năm,1. Số dư đầu năm,1.346.503.104.380,1.224.000.000,61.240.000,1.347.788.344.380,1346503104380.0,1224000000.0,61240000.0,1347788344380.0
2. Số tăng trong năm,I. Nguyên giá > 2. Số tăng trong năm,2. Số tăng trong năm,240.987.103.829,,,240.987.103.829,240987103829.0,,,240987103829.0
- Mua trong năm,I. Nguyên giá > - Mua trong năm,- Mua trong năm,240.987.103.829,,,240.987.103.829,240987103829.0,,,240987103829.0
- Tăng khác,- Tăng khác,- Tăng khác,,,,,,,,
3. Số giảm trong năm,- Tăng khác > 3. Số giảm trong năm,3. Số giảm trong năm,51.827.931.951,,,51.827.931.951,51827931951.0,,,51827931951.0
"- Thanh lý, nhượng bán","- Tăng khác > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",37.786.429.991,,,37.786.429.991,37786429991.0,,,37786429991.0
- Giảm khác,- Tăng khác > - Giảm khác,- Giảm khác,14.041.501.960,,,14.041.501.960,14041501960.0,,,14041501960.0
4. Số dư cuối năm,- Tăng khác > 4. Số dư cuối năm,4. Số dư cuối năm,1.535.662.276.258,1.224.000.000,61.240.000,1.536.947.516.258,1535662276258.0,1224000000.0,61240000.0,1536947516258.0
II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,,,,
1. Số dư đầu năm,II. Giá trị hao mòn luỹ kế > 1. Số dư đầu năm,1. Số dư đầu năm,80.310.957.822,1.044.031.557,50.693.127,81.405.682.506,80310957822.0,1044031557.0,50693127.0,81405682506.0
2. Khấu hao trong năm,II. Giá trị hao mòn luỹ kế > 2. Khấu hao trong năm,2. Khấu hao trong năm,21.030.878.132,137.603.883,10.546.873,21.179.028.888,21030878132.0,137603883.0,10546873.0,21179028888.0
- Khấu hao trong năm,II. Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,4.028.415.252,137.603.883,10.546.873,4.176.566.008,4028415252.0,137603883.0,10546873.0,4176566008.0
- Tăng khác,II. Giá trị hao mòn luỹ kế > - Tăng khác,- Tăng khác,17.002.462.880,,,17.002.462.880,17002462880.0,,,17002462880.0
3. Giảm trong năm,3. Giảm trong năm,3. Giảm trong năm,,,,,,,,
"- Thanh lý, nhượng bán","- Thanh lý, nhượng bán","- Thanh lý, nhượng bán",,,,,,,,
4. Số dư cuối năm,"- Thanh lý, nhượng bán > 4. Số dư cuối năm",4. Số dư cuối năm,101.341.835.954,1.181.635.440,61.240.000,102.584.711.394,101341835954.0,1181635440.0,61240000.0,102584711394.0
III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,,,,
1. Tại ngày đầu năm,III. Giá trị còn lại > 1. Tại ngày đầu năm,1. Tại ngày đầu năm,1.266.192.146.558,179.968.443,10.546.873,1.266.382.661.874,1266192146558.0,179968443.0,10546873.0,1266382661874.0
2. Tại ngày cuối năm,III. Giá trị còn lại > 2. Tại ngày cuối năm,2. Tại ngày cuối năm,1.434.320.440.304,42.364.560,,1.434.362.804.864,1434320440304.0,42364560.0,,1434362804864.0
