row_label_raw,row_label_full,Ho tên,Chức vụ,Năm nay,Năm trước,numeric__Chức vụ,numeric__Năm nay,numeric__Năm trước
Tổng Thù lao Hội đồng quản trị,Tổng Thù lao Hội đồng quản trị,Tổng Thù lao Hội đồng quản trị,Tổng Thù lao Hội đồng quản trị,870.346.000,854.400.000,,870346000.0,854400000.0
Lê Thị Nguyệt Thu,Lê Thị Nguyệt Thu,Lê Thị Nguyệt Thu,Chủ tịch,295.962.000,180.000.000,,295962000.0,180000000.0
Nguyễn Văn Hung,Nguyễn Văn Hung,Nguyễn Văn Hung,Phó chủ tịch,107.192.000,84.000.000,,107192000.0,84000000.0
Lê Thanh Thuấn,Lê Thanh Thuấn,Lê Thanh Thuấn,Thành viên,107.192.000,290.400.000,,107192000.0,290400000.0
Nguyễn Thị Hồng Loan,Nguyễn Thị Hồng Loan,Nguyễn Thị Hồng Loan,Thành viên,300.000.000,300.000.000,,300000000.0,300000000.0
Nguyễn Văn Phụng,Nguyễn Văn Phụng,Nguyễn Văn Phụng,Thành viên,60.000.000,,,60000000.0,
Tổng lương Ban Giám Đốc,Tổng lương Ban Giám Đốc,Tổng lương Ban Giám Đốc,Tổng lương Ban Giám Đốc,6.210.881.000,5.853.595.740,,6210881000.0,5853595740.0
Lê Thanh Thuấn,Lê Thanh Thuấn,Lê Thanh Thuấn,Tổng Giám Đốc,1.904.900.000,1.763.488.500,,1904900000.0,1763488500.0
Lê Văn Thành,Lê Văn Thành,Lê Văn Thành,Phó Tổng Giám Đốc,678.900.000,696.988.000,,678900000.0,696988000.0
Lê Xuân Quế,Lê Xuân Quế,Lê Xuân Quế,Phó Tổng Giám Đốc,682.700.000,711.138.000,,682700000.0,711138000.0
Trương Vĩnh Thành,Trương Vĩnh Thành,Trương Vĩnh Thành,Phó Tổng Giám Đốc,679.800.000,701.272.000,,679800000.0,701272000.0
Lê Thị Phượng,Lê Thị Phượng,Lê Thị Phượng,Phó Tổng Giám Đốc,680.200.000,701.272.000,,680200000.0,701272000.0
Lê Tuấn Anh,Lê Tuấn Anh,Lê Tuấn Anh,Phó Tổng Giám Đốc,678.050.000,576.998.000,,678050000.0,576998000.0
Trương Công Khánh,Trương Công Khánh,Trương Công Khánh,Giám Đốc Tài Chính,509.031.000,448.133.040,,509031000.0,448133040.0
Ngô Thị Tố Ngân,Ngô Thị Tố Ngân,Ngô Thị Tố Ngân,Kế Toán Trường,397.300.000,254.306.200,,397300000.0,254306200.0
