row_label_raw,row_label_full,19. 2. Chi tiết vốn góp của chủ sở hữu,Số cuối năm,%,Số đầu năm,%_1,numeric__Số cuối năm,numeric__%,numeric__Số đầu năm,numeric__%_1
Vốn góp của công ty mẹ,Vốn góp của công ty mẹ,Vốn góp của công ty mẹ,,,,,,,,
Vốn góp của các đối tượng khác,Vốn góp của công ty mẹ > Vốn góp của các đối tượng khác,Vốn góp của các đối tượng khác,3.365.267.520.000,"100,00%",2.588.678.490.000,"100,00%",3365267520000.0,1.0,2588678490000.0,1.0
Cộng,Vốn góp của công ty mẹ > Cộng,Cộng,3.365.267.520.000,"100,00%",2.588.678.490.000,"100,00%",3365267520000.0,1.0,2588678490000.0,1.0
