row_label_raw,row_label_full,a) Vay ngắn hạn,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giám,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giám,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
Vay ngắn hạn - VND,Vay ngắn hạn - VND,Vay ngắn hạn - VND,,,,,,,,,,,,
- Ngân Hàng Chính Sách XH Tỉnh Đồng Tháp,Vay ngắn hạn - VND > - Ngân Hàng Chính Sách XH Tỉnh Đồng Tháp,- Ngân Hàng Chính Sách XH Tỉnh Đồng Tháp,,,367.010.000,1.135.330.000,768.320.000,768.320.000,,,367010000.0,1135330000.0,768320000.0,768320000.0
- Ngân hàng TMCP Á Châu,Vay ngắn hạn - VND > - Ngân hàng TMCP Á Châu,- Ngân hàng TMCP Á Châu,10.000.000.000,10.000.000.000,20.000.000.000,20.000.000.000,10.000.000.000,10.000.000.000,10000000000.0,10000000000.0,20000000000.0,20000000000.0,10000000000.0,10000000000.0
- Ngân hàng Chính Sách Xã Hội Tỉnh An Giang,Vay ngắn hạn - VND > - Ngân hàng Chính Sách Xã Hội Tỉnh An Giang,- Ngân hàng Chính Sách Xã Hội Tỉnh An Giang,,,2.010.960.000,2.010.960.000,,,,,2010960000.0,2010960000.0,,
- Ngân hàng Á Châu CN Ông Ích Khiêm,Vay ngắn hạn - VND > - Ngân hàng Á Châu CN Ông Ích Khiêm,- Ngân hàng Á Châu CN Ông Ích Khiêm,39.131.698.871,39.131.698.871,50.604.804.371,52.419.296.000,40.946.190.500,40.946.190.500,39131698871.0,39131698871.0,50604804371.0,52419296000.0,40946190500.0,40946190500.0
- Ngân hàng Á Châu CN Sa Đéc,Vay ngắn hạn - VND > - Ngân hàng Á Châu CN Sa Đéc,- Ngân hàng Á Châu CN Sa Đéc,18.761.160.000,18.761.160.000,39.530.820.000,95.757.952.000,74.988.292.000,74.988.292.000,18761160000.0,18761160000.0,39530820000.0,95757952000.0,74988292000.0,74988292000.0
- CN Ngân Hàng Đầu Tư Và Phát Triển Kiên Giang,Vay ngắn hạn - VND > - CN Ngân Hàng Đầu Tư Và Phát Triển Kiên Giang,- CN Ngân Hàng Đầu Tư Và Phát Triển Kiên Giang,652.006.595.782,652.006.595.782,1.448.123.037.294,1.325.731.115.327,529.614.673.815,529.614.673.815,652006595782.0,652006595782.0,1448123037294.0,1325731115327.0,529614673815.0,529614673815.0
"- NH Đầu tư và phát triển Việt Nam, CN Phú Quốc","Vay ngắn hạn - VND > - NH Đầu tư và phát triển Việt Nam, CN Phú Quốc","- NH Đầu tư và phát triển Việt Nam, CN Phú Quốc",8.764.275.000,8.764.275.000,83.747.339.500,149.526.680.550,74.543.616.050,74.543.616.050,8764275000.0,8764275000.0,83747339500.0,149526680550.0,74543616050.0,74543616050.0
"- NH Đầu tư và phát triển Việt Nam, CN Bến Nghé","Vay ngắn hạn - VND > - NH Đầu tư và phát triển Việt Nam, CN Bến Nghé","- NH Đầu tư và phát triển Việt Nam, CN Bến Nghé",352.336.319.400,352.336.319.400,678.759.898.567,517.075.483.567,190.651.904.400,190.651.904.400,352336319400.0,352336319400.0,678759898567.0,517075483567.0,190651904400.0,190651904400.0
- Ngân hàng BPCE IOM - CN Thành phố Hồ Chí Minh,Vay ngắn hạn - VND > - Ngân hàng BPCE IOM - CN Thành phố Hồ Chí Minh,- Ngân hàng BPCE IOM - CN Thành phố Hồ Chí Minh,143.046.447.771,143.046.447.771,299.178.532.602,253.463.018.136,97.330.933.305,97.330.933.305,143046447771.0,143046447771.0,299178532602.0,253463018136.0,97330933305.0,97330933305.0
- Ngân hàng China Construction - CN TP.HCM,Vay ngắn hạn - VND > - Ngân hàng China Construction - CN TP.HCM,- Ngân hàng China Construction - CN TP.HCM,159.352.169.200,159.352.169.200,317.923.292.200,317.473.659.000,158.902.536.000,158.902.536.000,159352169200.0,159352169200.0,317923292200.0,317473659000.0,158902536000.0,158902536000.0
