row_label_raw,row_label_full,col_0,Giá trị,Dự phòng,Giá trị_1,Dự phòng_1,numeric__Giá trị,numeric__Dự phòng,numeric__Giá trị_1,numeric__Dự phòng_1
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,328.677.766.460,(528.000.000),290.148.805.523,(528.000.000),328677766460.0,-528000000.0,290148805523.0,-528000000.0
Tạm ứng,Tạm ứng,Tạm ứng,248.364.537.730,,208.242.658.915,,248364537730.0,,208242658915.0,
- Bùi Thị Ngọc Linh,- Bùi Thị Ngọc Linh,- Bùi Thị Ngọc Linh,18.366.577.000,,15.306.240.000,,18366577000.0,,15306240000.0,
- Lê Văn Ba,- Lê Văn Ba,- Lê Văn Ba,17.487.227.000,,,,17487227000.0,,,
- CBCNV khác,- CBCNV khác,- CBCNV khác,212.510.733.730,,192.936.418.915,,212510733730.0,,192936418915.0,
Phải thu khác,Phải thu khác,Phải thu khác,80.313.228.730,(528.000.000),81.906.146.608,(528.000.000),80313228730.0,-528000000.0,81906146608.0,-528000000.0
- Công ty CTTC TNHH MTV NHTMCP Công Thương VN,- Công ty CTTC TNHH MTV NHTMCP Công Thương VN,- Công ty CTTC TNHH MTV NHTMCP Công Thương VN,6.414.221.939,,4.275.143.932,,6414221939.0,,4275143932.0,
- Cục thuế tỉnh Đồng Tháp - hoàn thuế,- Cục thuế tỉnh Đồng Tháp - hoàn thuế,- Cục thuế tỉnh Đồng Tháp - hoàn thuế,9.765.382.177,,19.600.000.000,,9765382177.0,,19600000000.0,
- Huỳnh Phú Cường,- Huỳnh Phú Cường,- Huỳnh Phú Cường,26.514.170.000,,,,26514170000.0,,,
- Đối tượng khác,- Đối tượng khác,- Đối tượng khác,37.619.454.614,(528.000.000),58.031.002.676,(528.000.000),37619454614.0,-528000000.0,58031002676.0,-528000000.0
b) Dài hạn,b) Dài hạn,b) Dài hạn,53.745.820.172,,40.097.715.814,,53745820172.0,,40097715814.0,
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",53.745.820.172,,40.097.715.814,,53745820172.0,,40097715814.0,
Cộng,Cộng,Cộng,382.423.586.632,(528.000.000),330.246.521.337,(528.000.000),382423586632.0,-528000000.0,330246521337.0,-528000000.0
