row_label_raw,row_label_full,col_0,Miền BắcTriệu VND,Miền TrungTriệu VND,Miền NamTriệu VND,Loại trừTriệu VND,Tổng cộngTriệu VND,numeric__Miền BắcTriệu VND,numeric__Miền TrungTriệu VND,numeric__Miền NamTriệu VND,numeric__Loại trừTriệu VND,numeric__Tổng cộngTriệu VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,
"1. Tiền mặt,vàng bạc, đá quý","Tài sản > 1. Tiền mặt,vàng bạc, đá quý","1. Tiền mặt,vàng bạc, đá quý",833.263,742.624,5.933.980,-,7.509.867,833263.0,742624.0,5933980.0,,7509867.0
2. Tài sản cố định,Tài sản > 2. Tài sản cố định,2. Tài sản cố định,190.328,419.132,3.107.441,-,3.716.901,190328.0,419132.0,3107441.0,,3716901.0
3. Tài sản khác,Tài sản > 3. Tài sản khác,3. Tài sản khác,77.023.036,54.641.391,500.948.395,(120.234.984),512.377.838,77023036.0,54641391.0,500948395.0,-120234984.0,512377838.0
,,,78.046.627,55.803.147,509.989.816,(120.234.984),523.604.606,78046627.0,55803147.0,509989816.0,-120234984.0,523604606.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,
1. Nợ phải trả kháchhàng bên ngoài,Nợ phải trả > 1. Nợ phải trả kháchhàng bên ngoài,1. Nợ phải trả kháchhàng bên ngoài,70.337.994,24.189.175,374.648.025,(30),469.175.164,70337994.0,24189175.0,374648025.0,-30.0,469175164.0
2. Nợ phải trả nội bộ,Nợ phải trả > 2. Nợ phải trả nội bộ,2. Nợ phải trả nội bộ,6.249.048,30.552.696,84.753.719,(120.234.954),1.320.509,6249048.0,30552696.0,84753719.0,-120234954.0,1320509.0
3. Nợ phải trả khác,Nợ phải trả > 3. Nợ phải trả khác,3. Nợ phải trả khác,181,600,9.339.231,-,9.340.012,181.0,600.0,9339231.0,,9340012.0
,,,76.587.223,54.742.471,468.740.975,(120.234.984),479.835.685,76587223.0,54742471.0,468740975.0,-120234984.0,479835685.0
