row_label_raw,row_label_full,col_0,Trụ sở làm việc Triệu VND,Thiết bị văn phòng Triệu VND,Phương tiện vận chuyển Triệu VND,Tài sản cố định khác Triệu VND,Tổng cộng Triệu VND,numeric__Trụ sở làm việc Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Tài sản cố định khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2021,Nguyên giá > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,2.540.297,1.727.227,418.222,156.679,4.842.425,2540297.0,1727227.0,418222.0,156679.0,4842425.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,82,191.510,68.663,2.654,262.909,82.0,191510.0,68663.0,2654.0,262909.0
Đầu tư xây dựng cơ bản hoàn thành(Thuyết minh 13.1(i)),Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành(Thuyết minh 13.1(i)),Đầu tư xây dựng cơ bản hoàn thành(Thuyết minh 13.1(i)),2.344,-,-,-,2.344,2344.0,,,,2344.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(77.081),(17.421),(2.133),(96.635),,-77081.0,-17421.0,-2133.0,-96635.0
Tại ngày 31 tháng 12 năm 2021,Nguyên giá > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,2.542.723,1.841.656,469.464,157.200,5.011.043,2542723.0,1841656.0,469464.0,157200.0,5011043.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2021,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,530.575,1.235.179,252.763,145.627,2.164.144,530575.0,1235179.0,252763.0,145627.0,2164144.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,66.068,189.454,37.301,4.399,297.222,66068.0,189454.0,37301.0,4399.0,297222.0
Thanh lý,Khấu hao lũy kế > Thanh lý,Thanh lý,-,(76.897),(17.090),(2.134),(96.121),,-76897.0,-17090.0,-2134.0,-96121.0
Tại ngày 31 tháng 12 năm 2021,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,596.643,1.347.736,272.974,147.892,2.365.245,596643.0,1347736.0,272974.0,147892.0,2365245.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,2.009.722,492.048,165.459,11.052,2.678.281,2009722.0,492048.0,165459.0,11052.0,2678281.0
Tại ngày 31 tháng 12 năm 2021,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,1.946.080,493.920,196.490,9.308,2.645.798,1946080.0,493920.0,196490.0,9308.0,2645798.0
