row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày > 31.12.2021Triệu VND,Tại ngày > 31.12.2020Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày > 31.12.2021Triệu VND,numeric__Tại ngày > 31.12.2020Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",4,7.509.867,6.967.909,,4.0,7509867.0,6967909.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước,5,32.349.574,16.616.798,,5.0,32349574.0,16616798.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,6,48.912.941,31.396.600,,6.0,48912941.0,31396600.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,6.1,42.255.995,22.303.638,,61.0,42255995.0,22303638.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,6.1,6.656.946,9.092.962,,61.0,6656946.0,9092962.0
IV,A > IV,IV,Chứng khoán kinh doanh,7,10.584.641,5.986.742,,7.0,10584641.0,5986742.0
1,A > 1,1,Chứng khoán kinh doanh,,10.620.680,5.986.742,,,10620680.0,5986742.0
2,A > 2,2,Dự phòng rủi ro chứng khoán kinh doanh,,(36.039),-,,,-36039.0,
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,8,226.545,54.473,,8.0,226545.0,54473.0
VI,A > VI,VI,Cho vay khách hàng,9,350.188.909,304.796.753,,9.0,350188909.0,304796753.0
1,A > 1,1,Cho vay khách hàng,,355.908.308,307.617.524,,,355908308.0,307617524.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,9.7,(5.719.399),(2.820.771),,97.0,-5719399.0,-2820771.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,10,59.474.604,63.399.011,,10.0,59474604.0,63399011.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,10.1,9.739.539,10.790.432,,101.0,9739539.0,10790432.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,10.1,49.743.071,53.048.264,,101.0,49743071.0,53048264.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,10.3,(8.006),(439.685),,103.0,-8006.0,-439685.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",11,3.676.925,1.902.722,,11.0,3676925.0,1902722.0
1,A > 1,1,Đầu tư vào công ty con,11.2,3.505.000,1.805.000,,112.0,3505000.0,1805000.0
2,A > 2,2,Vốn góp liên doanh,,-,1.000,,,,1000.0
3,A > 3,3,Đầu tư vào công ty liên kết,,-,200,,,,200.0
4,A > 4,4,Đầu tư dài hạn khác,11.3,299.317,101.827,,113.0,299317.0,101827.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,11.4,(127.392),(5.305),,114.0,-127392.0,-5305.0
X,A > X,X,Tài sản cố định,12,3.716.901,3.734.392,,12.0,3716901.0,3734392.0
1,A > 1,1,Tài sản cố định hữu hình,12.1,2.645.798,2.678.281,,121.0,2645798.0,2678281.0
a,A > a,a,Nguyên giá tài sản cố định,,5.011.043,4.842.425,,,5011043.0,4842425.0
b,A > b,b,Hao mòn tài sản cố định,,(2.365.245),(2.164.144),,,-2365245.0,-2164144.0
3,A > 3,3,Tài sản cố định vô hình,12.2,1.071.103,1.056.111,,122.0,1071103.0,1056111.0
a,A > a,a,Nguyên giá tài sản cố định,,1.531.815,1.449.969,,,1531815.0,1449969.0
b,A > b,b,Hao mòn tài sản cố định,,(460.712),(393.858),,,-460712.0,-393858.0
XII,A > XII,XII,Tài sản Có khác,13,6.963.699,7.138.349,,13.0,6963699.0,7138349.0
1,A > 1,1,Các khoản phải thu,13.1,3.154.520,3.355.934,,131.0,3154520.0,3355934.0
2,A > 2,2,"Các khoản lãi, phí phải thu",,3.133.049,3.607.694,,,3133049.0,3607694.0
3,A > 3,3,Tài sản thuế thu nhập doanh nghiệp hoãn lại,13.4,44.370,50.724,,134.0,44370.0,50724.0
4,A > 4,4,Tài sản Có khác,13.2,803.758,1.077.931,,132.0,803758.0,1077931.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,13.3,(171.998),(953.934),,133.0,-171998.0,-953934.0
,,,TỔNG TÀI SẢN,,523.604.606,441.993.749,,,523604606.0,441993749.0
