row_label_raw,row_label_full,col_0,Miền BắcTriệu VND,Miền TrungTriệu VND,Miền NamTriệu VND,Loại trừTriệu VND,Tổng cộngTriệu VND,numeric__Miền BắcTriệu VND,numeric__Miền TrungTriệu VND,numeric__Miền NamTriệu VND,numeric__Loại trừTriệu VND,numeric__Tổng cộngTriệu VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,
"1. Tiền mặt,vàng bạc, đá quý","Tài sản > 1. Tiền mặt,vàng bạc, đá quý","1. Tiền mặt,vàng bạc, đá quý",943.551,437.960,5.586.398,-,6.967.909,943551.0,437960.0,5586398.0,,6967909.0
2. Tài sản cố định,Tài sản > 2. Tài sản cố định,2. Tài sản cố định,271.343,312.459,3.150.590,-,3.734.392,271343.0,312459.0,3150590.0,,3734392.0
3. Tài sản khác,Tài sản > 3. Tài sản khác,3. Tài sản khác,81.749.249,39.642.739,434.999.343,(125.099.883),431.291.448,81749249.0,39642739.0,434999343.0,-125099883.0,431291448.0
,,,82.964.143,40.393.158,443.736.331,(125.099.883),441.993.749,82964143.0,40393158.0,443736331.0,-125099883.0,441993749.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,
1. Nợ phải trả kháchhàng bên ngoài,Nợ phải trả > 1. Nợ phải trả kháchhàng bên ngoài,1. Nợ phải trả kháchhàng bên ngoài,74.274.845,16.984.489,313.170.370,-,404.429.704,74274845.0,16984489.0,313170370.0,,404429704.0
2. Nợ phải trả nội bộ,Nợ phải trả > 2. Nợ phải trả nội bộ,2. Nợ phải trả nội bộ,7.464.948,22.750.135,96.321.447,(125.099.883),1.436.647,7464948.0,22750135.0,96321447.0,-125099883.0,1436647.0
3. Nợ phải trả khác,Nợ phải trả > 3. Nợ phải trả khác,3. Nợ phải trả khác,205,762,1.303.788,-,1.304.755,205.0,762.0,1303788.0,,1304755.0
,,,81.739.998,39.735.386,410.795.605,(125.099.883),407.171.106,81739998.0,39735386.0,410795605.0,-125099883.0,407171106.0
