row_label_raw,row_label_full,col_0,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021_1,Tại ngày 31 tháng 12 năm 2021_2,numeric__Tại ngày 31 tháng 12 năm 2021,numeric__Tại ngày 31 tháng 12 năm 2021_1,numeric__Tại ngày 31 tháng 12 năm 2021_2
,,,Bằng tiền đồngTriệu VND,Bằng ngoại tệTriệu VND,Tổng cộngTriệu VND,,,
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,62.456,-,62.456,62456.0,,62456.0
Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,36.778.386,40.922.509,77.700.895,36778386.0,40922509.0,77700895.0
Cam kết trong nghiệp vụ L/C trả ngay,Cam kết trong nghiệp vụ L/C trả ngay,Cam kết trong nghiệp vụ L/C trả ngay,-,1.921.712,1.921.712,,1921712.0,1921712.0
Cam kết trong nghiệp vụ L/C trả chậm,Cam kết trong nghiệp vụ L/C trả chậm,Cam kết trong nghiệp vụ L/C trả chậm,401.371,1.682.657,2.084.028,401371.0,1682657.0,2084028.0
Bảo lãnh thanh toán,Bảo lãnh thanh toán,Bảo lãnh thanh toán,2.225.769,46.777,2.272.546,2225769.0,46777.0,2272546.0
Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,1.342.269,37.508,1.379.777,1342269.0,37508.0,1379777.0
Bảo lãnh dự thầu,Bảo lãnh dự thầu,Bảo lãnh dự thầu,326.249,277,326.526,326249.0,277.0,326526.0
"Các cam kết, bảo lãnh khác","Các cam kết, bảo lãnh khác","Các cam kết, bảo lãnh khác",8.955.864,110.279,9.066.143,8955864.0,110279.0,9066143.0
,,,50.092.364,44.721.719,94.814.083,50092364.0,44721719.0,94814083.0
,,,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,,,
,,,Bằng tiền đồngTriệu VND,Bằng ngoại tệTriệu VND,Tổng cộngTriệu VND,,,
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,75.723,-,75.723,75723.0,,75723.0
Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,26.919.629,32.355.103,59.274.732,26919629.0,32355103.0,59274732.0
Cam kết trong nghiệp vụ L/C trả ngay,Cam kết trong nghiệp vụ L/C trả ngay,Cam kết trong nghiệp vụ L/C trả ngay,-,2.163.859,2.163.859,,2163859.0,2163859.0
Cam kết trong nghiệp vụ L/C trả chậm,Cam kết trong nghiệp vụ L/C trả chậm,Cam kết trong nghiệp vụ L/C trả chậm,302.286,2.118.940,2.421.226,302286.0,2118940.0,2421226.0
Bảo lãnh thanh toán,Bảo lãnh thanh toán,Bảo lãnh thanh toán,2.211.922,53.850,2.265.772,2211922.0,53850.0,2265772.0
Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,1.238.688,29.925,1.268.613,1238688.0,29925.0,1268613.0
Bảo lãnh dự thầu,Bảo lãnh dự thầu,Bảo lãnh dự thầu,358.455,196,358.651,358455.0,196.0,358651.0
Các bảo lãnh khác,Các bảo lãnh khác,Các bảo lãnh khác,6.520.657,154.059,6.674.716,6520657.0,154059.0,6674716.0
,,,37.627.360,36.875.932,74.503.292,37627360.0,36875932.0,74503292.0
