row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày > 31.12.2021Triệu VND,Tại ngày > 31.12.2020Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày > 31.12.2021Triệu VND,numeric__Tại ngày > 31.12.2020Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,14,52.387.400,22.530.219,,14.0,52387400.0,22530219.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,41.401.462,15.119.326,,,41401462.0,15119326.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,10.985.938,7.410.893,,,10985938.0,7410893.0
III,B > III,III,Tiền gửi của khách hàng,15,380.401.038,353.322.693,,15.0,380401038.0,353322693.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",16,86.066,116.705,,16.0,86066.0,116705.0
VI,B > VI,VI,Phát hành giấy tờ có giá,17,30.024.128,21.606.697,,17.0,30024128.0,21606697.0
VII,B > VII,VII,Các khoản nợ khác,,16.937.053,9.594.792,,,16937053.0,9594792.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,4.587.880,5.091.490,,,4587880.0,5091490.0
3,B > 3,3,Các khoản phải trả và công nợ khác,18,12.349.173,4.503.302,,18.0,12349173.0,4503302.0
,,,TỔNG NỘ PHẢI TRẢ,,479.835.685,407.171.106,,,479835685.0,407171106.0
VIII,B > VIII,VIII,VỐN CHỦ SỞ HỮU,19,43.768.921,34.822.643,,19.0,43768921.0,34822643.0
1,B > 1,1,Vốn của tổ chức tín dụng,19.1,27.291.260,21.887.364,,191.0,27291260.0,21887364.0
a,B > a,a,Vốn điều lệ,,27.019.481,21.615.585,,,27019481.0,21615585.0
c,B > c,c,Thăng dư vốn cổ phần,,271.779,271.779,,,271779.0,271779.0
2,B > 2,2,Quỹ của tổ chức tín dụng,19.1,6.745.497,5.381.055,,191.0,6745497.0,5381055.0
5,B > 5,5,Lợi nhuận chưa phân phối,19.1,9.732.164,7.554.224,,191.0,9732164.0,7554224.0
a,B > a,a,Lợi nhuận năm nay,,7.731.836,6.369.357,,,7731836.0,6369357.0
b,B > b,b,Lợi nhuận lũy kế năm trước,,2.000.328,1.184.867,,,2000328.0,1184867.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,43.768.921,34.822.643,,,43768921.0,34822643.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,523.604.606,441.993.749,,,523604606.0,441993749.0
