row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2020,Quá hạn > Tại ngày 31 tháng 12 năm 2020,Không chịu lãi suất > Tại ngày 31 tháng 12 năm 2020,Dưới 1 tháng > Tại ngày 31 tháng 12 năm 2020,Từ 1 đến 3 tháng > Tại ngày 31 tháng 12 năm 2020,Từ trên 3 đến 6 tháng > Tại ngày 31 tháng 12 năm 2020,Từ trên 6 đến 12 tháng > Tại ngày 31 tháng 12 năm 2020,Từ trên 1 đến 5 năm > Tại ngày 31 tháng 12 năm 2020,Đơn vị: Triệu VND > Trên 5 năm > Tại ngày 31 tháng 12 năm 2020,Đơn vị: Triệu VND > Tổng cộng > Tại ngày 31 tháng 12 năm 2020,numeric__Quá hạn > Tại ngày 31 tháng 12 năm 2020,numeric__Không chịu lãi suất > Tại ngày 31 tháng 12 năm 2020,numeric__Dưới 1 tháng > Tại ngày 31 tháng 12 năm 2020,numeric__Từ 1 đến 3 tháng > Tại ngày 31 tháng 12 năm 2020,numeric__Từ trên 3 đến 6 tháng > Tại ngày 31 tháng 12 năm 2020,numeric__Từ trên 6 đến 12 tháng > Tại ngày 31 tháng 12 năm 2020,numeric__Từ trên 1 đến 5 năm > Tại ngày 31 tháng 12 năm 2020,numeric__Đơn vị: Triệu VND > Trên 5 năm > Tại ngày 31 tháng 12 năm 2020,numeric__Đơn vị: Triệu VND > Tổng cộng > Tại ngày 31 tháng 12 năm 2020
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,6.967.909,-,-,-,-,-,-,6.967.909,,6967909.0,,,,,,,6967909.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,-,16.616.798,-,-,-,-,-,-,16.616.798,,16616798.0,,,,,,,16616798.0
Tiền gửi và cho vay các TCTD khác (i),Tài sản > Tiền gửi và cho vay các TCTD khác (i),Tiền gửi và cho vay các TCTD khác (i),-,-,18.675.844,12.659.756,-,-,-,61.000,31.396.600,,,18675844.0,12659756.0,,,,61000.0,31396600.0
Chứng khoán kinh doanh (i),Tài sản > Chứng khoán kinh doanh (i),Chứng khoán kinh doanh (i),-,5.986.742,-,-,-,-,-,-,5.986.742,,5986742.0,,,,,,,5986742.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,54.473,-,-,-,-,-,-,54.473,,54473.0,,,,,,,54473.0
Cho vay khách hàng (i),Tài sản > Cho vay khách hàng (i),Cho vay khách hàng (i),2.166.636,-,2.901.489,286.610.565,11.822.502,3.381.360,445.193,289.779,307.617.524,2166636.0,,2901489.0,286610565.0,11822502.0,3381360.0,445193.0,289779.0,307617524.0
Chứng khoán đầu tư (i),Tài sản > Chứng khoán đầu tư (i),Chứng khoán đầu tư (i),-,708.161,-,-,-,302.420,20.115.556,42.712.559,63.838.696,,708161.0,,,,302420.0,20115556.0,42712559.0,63838696.0
"Góp vốn, đầu tư dài hạn (i)","Tài sản > Góp vốn, đầu tư dài hạn (i)","Góp vốn, đầu tư dài hạn (i)",-,1.908.027,-,-,-,-,-,-,1.908.027,,1908027.0,,,,,,,1908027.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,3.734.392,-,-,-,-,-,-,3.734.392,,3734392.0,,,,,,,3734392.0
Tài sản Có khác (i),Tài sản > Tài sản Có khác (i),Tài sản Có khác (i),225.238,7.134.490,-,-,-,732.555,-,-,8.092.283,225238.0,7134490.0,,,,732555.0,,,8092283.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,2.391.874,43.110.992,21.577.333,299.270.321,11.822.502,4.416.335,20.560.749,43.063.338,446.213.444,2391874.0,43110992.0,21577333.0,299270321.0,11822502.0,4416335.0,20560749.0,43063338.0,446213444.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,21.091.772,1.082.687,355.760,-,-,-,22.530.219,,,21091772.0,1082687.0,355760.0,,,,22530219.0
