row_label_raw,row_label_full,col_0,Dự phòng cụ thể (i)Triệu VND,Dự phòng chungTriệu VND,Tổng cộngTriệu VND,numeric__Dự phòng cụ thể (i)Triệu VND,numeric__Dự phòng chungTriệu VND,numeric__Tổng cộngTriệu VND
Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,440.998,1.956.047,2.397.045,440998.0,1956047.0,2397045.0
Trích lập trong năm (Thuyết minh 30),Trích lập trong năm (Thuyết minh 30),Trích lập trong năm (Thuyết minh 30),353.219,297.065,650.284,353219.0,297065.0,650284.0
Sử dụng trong năm,Sử dụng trong năm,Sử dụng trong năm,(226.558),-,(226.558),-226558.0,,-226558.0
Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,567.659,2.253.112,2.820.771,567659.0,2253112.0,2820771.0
Trích lập trong năm (Thuyết minh 30),Trích lập trong năm (Thuyết minh 30),Trích lập trong năm (Thuyết minh 30),2.913.581,406.420,3.320.001,2913581.0,406420.0,3320001.0
Sử dụng trong năm,Sử dụng trong năm,Sử dụng trong năm,(421.373),-,(421.373),-421373.0,,-421373.0
Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,3.059.867,2.659.532,5.719.399,3059867.0,2659532.0,5719399.0
