row_label_raw,row_label_full,col_0,Mức độ rủi ro tín dụng tối đa,Mức độ rủi ro tín dụng tối đa_1,numeric__Mức độ rủi ro tín dụng tối đa,numeric__Mức độ rủi ro tín dụng tối đa_1
,,,31.12.2021Triệu VND,31.12.2020Triệu VND,,
Rủi ro tín dụng liên quan đến các tài sản nội bảng:,Rủi ro tín dụng liên quan đến các tài sản nội bảng:,Rủi ro tín dụng liên quan đến các tài sản nội bảng:,Rủi ro tín dụng liên quan đến các tài sản nội bảng:,Rủi ro tín dụng liên quan đến các tài sản nội bảng:,,
Tiền gửi tại Ngân hàng Nhà nước,Rủi ro tín dụng liên quan đến các tài sản nội bảng: > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,32.349.574,16.616.798,32349574.0,16616798.0
Tiền gửi và cho vay các TCTD khác,Rủi ro tín dụng liên quan đến các tài sản nội bảng: > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,48.912.941,31.396.600,48912941.0,31396600.0
Chứng khoán kinh doanh - chứng khoán nợ,Rủi ro tín dụng liên quan đến các tài sản nội bảng: > Chứng khoán kinh doanh - chứng khoán nợ,Chứng khoán kinh doanh - chứng khoán nợ,10.620.680,5.986.742,10620680.0,5986742.0
Các công cụ tài chính phải sinh,Rủi ro tín dụng liên quan đến các tài sản nội bảng: > Các công cụ tài chính phải sinh,Các công cụ tài chính phải sinh,226.545,54.473,226545.0,54473.0
Cho vay khách hàng,Rủi ro tín dụng liên quan đến các tài sản nội bảng: > Cho vay khách hàng,Cho vay khách hàng,355.908.308,307.617.524,355908308.0,307617524.0
"Chứng khoán đầu tư, trong đó:- Chứng khoán nợ - đầu tư sẵn sàng để bán","Rủi ro tín dụng liên quan đến các tài sản nội bảng: > Chứng khoán đầu tư, trong đó:- Chứng khoán nợ - đầu tư sẵn sàng để bán","Chứng khoán đầu tư, trong đó:- Chứng khoán nợ - đầu tư sẵn sàng để bán",9.635.656,10.082.271,9635656.0,10082271.0
- Chứng khoán nợ - đầu tư giữ đến ngày đáo hạn,Rủi ro tín dụng liên quan đến các tài sản nội bảng: > - Chứng khoán nợ - đầu tư giữ đến ngày đáo hạn,- Chứng khoán nợ - đầu tư giữ đến ngày đáo hạn,49.743.071,53.048.264,49743071.0,53048264.0
Các tài sản tài chính khác,Rủi ro tín dụng liên quan đến các tài sản nội bảng: > Các tài sản tài chính khác,Các tài sản tài chính khác,5.803.554,6.812.968,5803554.0,6812968.0
,,,513.200.329,431.615.640,513200329.0,431615640.0
Rủi ro tín dụng liên quan đến các tài khoản ngoại bảng:Các cam kết ngoại bảng,Rủi ro tín dụng liên quan đến các tài sản nội bảng: > Rủi ro tín dụng liên quan đến các tài khoản ngoại bảng:Các cam kết ngoại bảng,Rủi ro tín dụng liên quan đến các tài khoản ngoại bảng:Các cam kết ngoại bảng,17.113.188,15.228.560,17113188.0,15228560.0
