row_label_raw,row_label_full,col_0,VND,USD,Vàng,EUR,JPY,AUD,CAD,Đơn vị: Triệu VND,Đơn vị: Triệu VND_1,numeric__VND,numeric__USD,numeric__Vàng,numeric__EUR,numeric__JPY,numeric__AUD,numeric__CAD,numeric__Đơn vị: Triệu VND,numeric__Đơn vị: Triệu VND_1
,,,VND,USD,Vàng,EUR,JPY,AUD,CAD,Khác,Tổng cộng,,,,,,,,,
Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5.948.956,696.207,263.472,6.478,8.777,20.376,17.783,5.860,6.967.909,5948956.0,696207.0,263472.0,6478.0,8777.0,20376.0,17783.0,5860.0,6967909.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,10.115.714,6.501.084,-,-,-,-,-,-,16.616.798,10115714.0,6501084.0,,,,,,,16616798.0
Tiền gửi và cho vay các TCTD khác (i),Tài sản > Tiền gửi và cho vay các TCTD khác (i),Tiền gửi và cho vay các TCTD khác (i),23.461.688,5.550.568,-,168.710,2.109.857,24.039,13.621,68.117,31.396.600,23461688.0,5550568.0,,168710.0,2109857.0,24039.0,13621.0,68117.0,31396600.0
Chứng khoán kinh doanh (i),Tài sản > Chứng khoán kinh doanh (i),Chứng khoán kinh doanh (i),5.986.742,-,-,-,-,-,-,-,5.986.742,5986742.0,,,,,,,,5986742.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,14.240.860,(12.506.770),-,-,(1.661.692),-,(12.683),(5.242),54.473,14240860.0,-12506770.0,,,-1661692.0,,-12683.0,-5242.0,54473.0
Cho vay khách hàng (i),Tài sản > Cho vay khách hàng (i),Cho vay khách hàng (i),299.803.794,7.677.498,136.232,-,-,-,-,-,307.617.524,299803794.0,7677498.0,136232.0,,,,,,307617524.0
Chứng khoán đầu tư (i),Tài sản > Chứng khoán đầu tư (i),Chứng khoán đầu tư (i),63.838.696,-,-,-,-,-,-,-,63.838.696,63838696.0,,,,,,,,63838696.0
"Góp vốn, đầu tư dài hạn (i)","Tài sản > Góp vốn, đầu tư dài hạn (i)","Góp vốn, đầu tư dài hạn (i)",1.908.027,-,-,-,-,-,-,-,1.908.027,1908027.0,,,,,,,,1908027.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,3.734.392,-,-,-,-,-,-,-,3.734.392,3734392.0,,,,,,,,3734392.0
