row_label_raw,row_label_full,NGUÔN VÔN,Mã số,TM,Tại ngày 31/12/2023,Tại ngày 01/01/2023,numeric__Mã số,numeric__TM,numeric__Tại ngày 31/12/2023,numeric__Tại ngày 01/01/2023
C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,300,,13.091.625.184.629,13.143.369.754.524,300.0,,13091625184629.0,13143369754524.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,,3.834.577.801.478,3.643.136.405.687,310.0,,3834577801478.0,3643136405687.0
1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,311,4.13,786.789.252.101,722.790.976.078,311.0,413.0,786789252101.0,722790976078.0
2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,312,4.14,261.325.965.622,506.128.948.830,312.0,414.0,261325965622.0,506128948830.0
3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,313,4.15,140.660.631.448,92.653.945.590,313.0,415.0,140660631448.0,92653945590.0
4. Phải trả người lao động,4. Phải trả người lao động,4. Phải trả người lao động,314,4.16,157.713.936.173,135.631.175.203,314.0,416.0,157713936173.0,135631175203.0
5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,315,4.17,159.036.190.900,144.836.863.223,315.0,417.0,159036190900.0,144836863223.0
6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,318,4.18,200.602.255.647,184.500.480.486,318.0,418.0,200602255647.0,184500480486.0
7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,319,4.19,527.980.526.212,417.545.113.144,319.0,419.0,527980526212.0,417545113144.0
8. Vay ngắn hạn,8. Vay ngắn hạn,8. Vay ngắn hạn,320,4.20,1.324.978.339.216,1.181.329.199.315,320.0,420.0,1324978339216.0,1181329199315.0
9. Dự phòng phải trả ngắn hạn,9. Dự phòng phải trả ngắn hạn,9. Dự phòng phải trả ngắn hạn,321,,15.113.198.136,22.193.008.740,321.0,,15113198136.0,22193008740.0
"10. Quỹ khen thưởng, phúc lợi","10. Quỹ khen thưởng, phúc lợi","10. Quỹ khen thưởng, phúc lợi",322,4.21,260.377.506.023,235.526.695.078,322.0,421.0,260377506023.0,235526695078.0
II. Nợ dài hạn,II. Nợ dài hạn,II. Nợ dài hạn,330,,9.257.047.383.151,9.500.233.348.837,330.0,,9257047383151.0,9500233348837.0
1. Người mua trả tiền trước dài hạn,1. Người mua trả tiền trước dài hạn,1. Người mua trả tiền trước dài hạn,332,,23.251.913.192,10.753.755.089,332.0,,23251913192.0,10753755089.0
2. Chi phí phải trả dài hạn,2. Chi phí phải trả dài hạn,2. Chi phí phải trả dài hạn,333,4.17,786.682.585.605,650.324.444.557,333.0,417.0,786682585605.0,650324444557.0
3. Doanh thu chưa thực hiện dài hạn,3. Doanh thu chưa thực hiện dài hạn,3. Doanh thu chưa thực hiện dài hạn,336,4.18,4.650.236.252.591,4.717.819.871.482,336.0,418.0,4650236252591.0,4717819871482.0
4. Phải trả dài hạn khác,4. Phải trả dài hạn khác,4. Phải trả dài hạn khác,337,4.19,303.545.549.751,300.033.383.242,337.0,419.0,303545549751.0,300033383242.0
5. Vay dài hạn,5. Vay dài hạn,5. Vay dài hạn,338,4.20,3.490.652.276.824,3.818.380.296.504,338.0,420.0,3490652276824.0,3818380296504.0
6. Dự phòng phải trả dài hạn,6. Dự phòng phải trả dài hạn,6. Dự phòng phải trả dài hạn,342,,2.678.805.188,2.921.597.963,342.0,,2678805188.0,2921597963.0
