row_label_raw,row_label_full,Tên,Chức vụ,Năm 2023 VND,Năm 2022 VND,numeric__Chức vụ,numeric__Năm 2023 VND,numeric__Năm 2022 VND
Bà Đỗ Thị Thu Hằng,Bà Đỗ Thị Thu Hằng,Bà Đỗ Thị Thu Hằng,Chủ tịch Hội đồng quản trị,1.511.691.788,1.330.945.000,,1511691788.0,1330945000.0
Ông Trần Thanh Hải,Ông Trần Thanh Hải,Ông Trần Thanh Hải,Thành viên Hội đồng quản trị kiểm Tổng Giám đốc,1.361.882.515,1.333.452.396,,1361882515.0,1333452396.0
Ông Đình Ngọc Thuận,Ông Đình Ngọc Thuận,Ông Đình Ngọc Thuận,Thành viên Hội đồng quản trị kiểm Phó Tổng Giám đốc,1.226.370.365,1.122.865.395,,1226370365.0,1122865395.0
Bà Nguyễn Thị Hạnh,Bà Nguyễn Thị Hạnh,Bà Nguyễn Thị Hạnh,Thành viên Hội đồng quản trị kiểm Phó Tổng Giám đốc,1.180.452.627,1.220.394.396,,1180452627.0,1220394396.0
Bà Lương Minh Hiền,Bà Lương Minh Hiền,Bà Lương Minh Hiền,Thành viên Hội đồng quản trị kiểm Phó Tổng Giám đốc,1.137.670.624,1.125.495.395,,1137670624.0,1125495395.0
Ông Trương Đình Hiệp,Ông Trương Đình Hiệp,Ông Trương Đình Hiệp,Phó Tổng Giám đốc (bổ nhiệm từ ngày 01/06/2023),524.860.685,-,,524860685.0,
Ông Nguyễn Văn Tuán,Ông Nguyễn Văn Tuán,Ông Nguyễn Văn Tuán,Thành viên Hội đồng quản trị,208.324.465,214.861.395,,208324465.0,214861395.0
Ông Phạm Quốc Chí,Ông Phạm Quốc Chí,Ông Phạm Quốc Chí,Thành viên Hội đồng quản trị,208.324.465,214.861.395,,208324465.0,214861395.0
Bà Lê Thị Bích Loan,Bà Lê Thị Bích Loan,Bà Lê Thị Bích Loan,Kế toán trưởng,677.003.415,759.348.000,,677003415.0,759348000.0
Cộng,Cộng,Cộng,,8.036.580.949,7.322.223.372,,8036580949.0,7322223372.0
