row_label_raw,row_label_full,Khoản mục,"Chi phí đến bù, giải tỏa VND",Cơ sở hạ tầng VND,"Nhà cửa, vật kiến trúc VND","Phương tiện vận tải, truyền dẫn VND",BDS đầu tư khác VND,Cộng VND,"numeric__Chi phí đến bù, giải tỏa VND",numeric__Cơ sở hạ tầng VND,"numeric__Nhà cửa, vật kiến trúc VND","numeric__Phương tiện vận tải, truyền dẫn VND",numeric__BDS đầu tư khác VND,numeric__Cộng VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Tại ngày 01/01/2023,Nguyên giá: > Tại ngày 01/01/2023,Tại ngày 01/01/2023,844.000.625.565,3.139.693.163.582,1.897.869.164.690,146.855.615.619,4.833.029.047,6.033.251.598.503,844000625565.0,3139693163582.0,1897869164690.0,146855615619.0,4833029047.0,6033251598503.0
Đầu tư XDCB hoàn thành,Nguyên giá: > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,-,72.757.411.888,467.735.928.103,-,-,540.493.339.991,,72757411888.0,467735928103.0,,,540493339991.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,1.786.551.039,904.134.688,10.493.921.990,496.090.808,13.680.698.525,,1786551039.0,904134688.0,10493921990.0,496090808.0,13680698525.0
Giảm khác,Nguyên giá: > Giảm khác,Giảm khác,-,(18.021.679),(2.395.335.111),(22.081.914),-,(2.435.438.704),,-18021679.0,-2395335111.0,-22081914.0,,-2435438704.0
Tại ngày 31/12/2023,Nguyên giá: > Tại ngày 31/12/2023,Tại ngày 31/12/2023,844.000.625.565,3.214.219.104.830,2.364.113.892.370,157.327.455.695,5.329.119.855,6.584.990.198.315,844000625565.0,3214219104830.0,2364113892370.0,157327455695.0,5329119855.0,6584990198315.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,
Tại ngày 01/01/2023,Giá trị hao mòn lũy kế: > Tại ngày 01/01/2023,Tại ngày 01/01/2023,361.891.464.743,914.248.886.114,737.580.483.787,53.316.514.622,4.020.926.694,2.071.058.275.960,361891464743.0,914248886114.0,737580483787.0,53316514622.0,4020926694.0,2071058275960.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,13.547.560.318,130.969.528.131,173.819.688.406,9.577.591.986,274.175.848,328.188.544.689,13547560318.0,130969528131.0,173819688406.0,9577591986.0,274175848.0,328188544689.0
Giảm khác,Giá trị hao mòn lũy kế: > Giảm khác,Giảm khác,-,-,(518.808.226),(370.391),-,(519.178.617),,,-518808226.0,-370391.0,,-519178617.0
Tại ngày 31/12/2023,Giá trị hao mòn lũy kế: > Tại ngày 31/12/2023,Tại ngày 31/12/2023,375.439.025.061,1.045.218.414.245,910.881.363.967,62.893.736.217,4.295.102.542,2.398.727.642.032,375439025061.0,1045218414245.0,910881363967.0,62893736217.0,4295102542.0,2398727642032.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Tại ngày 01/01/2023,Giá trị còn lại: > Tại ngày 01/01/2023,Tại ngày 01/01/2023,482.109.160.822,2.225.444.277.468,1.160.288.680.903,93.539.100.997,812.102.353,3.962.193.322.543,482109160822.0,2225444277468.0,1160288680903.0,93539100997.0,812102353.0,3962193322543.0
Tại ngày 31/12/2023,Giá trị còn lại: > Tại ngày 31/12/2023,Tại ngày 31/12/2023,468.561.600.504,2.169.000.690.585,1.453.232.528.403,94.433.719.478,1.034.017.313,4.186.262.556.283,468561600504.0,2169000690585.0,1453232528403.0,94433719478.0,1034017313.0,4186262556283.0
