row_label_raw,row_label_full,col_0,Tại ngày 01/01/2023VND > Giá trị,Tại ngày 01/01/2023VND > Số có khả năngtrả nợ,Trong nămVND > Tăng,Trong nămVND > Giảm,Tại ngày 31/12/2023VND > Giá trị,Tại ngày 31/12/2023VND > Số có khả năngtrả nợ,numeric__Tại ngày 01/01/2023VND > Giá trị,numeric__Tại ngày 01/01/2023VND > Số có khả năngtrả nợ,numeric__Trong nămVND > Tăng,numeric__Trong nămVND > Giảm,numeric__Tại ngày 31/12/2023VND > Giá trị,numeric__Tại ngày 31/12/2023VND > Số có khả năngtrả nợ
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,,,,,
Vay ngân hàng,Ngắn hạn: > Vay ngân hàng,Vay ngân hàng,1.081.329.199.315,1.081.329.199.315,1.773.709.496.901,1.630.060.357.000,1.224.978.339.216,1.224.978.339.216,1081329199315.0,1081329199315.0,1773709496901.0,1630060357000.0,1224978339216.0,1224978339216.0
Trái phiếu (*),Ngắn hạn: > Trái phiếu (*),Trái phiếu (*),100.000.000.000,100.000.000.000,100.000.000.000,100.000.000.000,100.000.000.000,100.000.000.000,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0
Cộng,Ngắn hạn: > Cộng,Cộng,1.181.329.199.315,1.181.329.199.315,1.873.709.496.901,1.730.060.357.000,1.324.978.339.216,1.324.978.339.216,1181329199315.0,1181329199315.0,1873709496901.0,1730060357000.0,1324978339216.0,1324978339216.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,,,,,
Vay ngân hàng,Dài hạn: > Vay ngân hàng,Vay ngân hàng,3.519.283.296.504,3.519.283.296.504,710.310.398.843,938.339.418.523,3.291.254.276.824,3.291.254.276.824,3519283296504.0,3519283296504.0,710310398843.0,938339418523.0,3291254276824.0,3291254276824.0
Trái phiếu (*),Dài hạn: > Trái phiếu (*),Trái phiếu (*),299.097.000.000,299.097.000.000,301.000.000,100.000.000.000,199.398.000.000,199.398.000.000,299097000000.0,299097000000.0,301000000.0,100000000000.0,199398000000.0,199398000000.0
Cộng,Dài hạn: > Cộng,Cộng,3.818.380.296.504,3.818.380.296.504,710.611.398.843,1.038.339.418.523,3.490.652.276.824,3.490.652.276.824,3818380296504.0,3818380296504.0,710611398843.0,1038339418523.0,3490652276824.0,3490652276824.0
Tổng cộng,Dài hạn: > Tổng cộng,Tổng cộng,4.999.709.495.819,4.999.709.495.819,2.584.320.895.744,2.768.399.775.523,4.815.630.616.040,4.815.630.616.040,4999709495819.0,4999709495819.0,2584320895744.0,2768399775523.0,4815630616040.0,4815630616040.0
