row_label_raw,row_label_full,CHÌ TIÊU,Mã số,TM,Năm 2023,Năm 2022,numeric__Mã số,numeric__TM,numeric__Năm 2023,numeric__Năm 2022
III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,,,,
"1. Tiền thu từ phát hành cổ phiếu,nhận vốn góp của chủ sở hữu","III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1. Tiền thu từ phát hành cổ phiếu,nhận vốn góp của chủ sở hữu","1. Tiền thu từ phát hành cổ phiếu,nhận vốn góp của chủ sở hữu",31,,1.974.970.000,-,31.0,,1974970000.0,
2. Tiền thu từ đi vay,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2. Tiền thu từ đi vay,2. Tiền thu từ đi vay,33,6.1,1.603.560.467.741,2.227.575.071.437,33.0,61.0,1603560467741.0,2227575071437.0
3. Tiền trả nợ gốc vay,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3. Tiền trả nợ gốc vay,3. Tiền trả nợ gốc vay,34,6.2,(1.761.324.213.580),(2.217.931.783.493),34.0,62.0,-1761324213580.0,-2217931783493.0
"4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,(704.513.062.375),(738.209.825.385),36.0,,-704513062375.0,-738209825385.0
Lưu chuyển tiền thuần từ hoạt động tài chính,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,,(860.301.838.214),(728.566.537.441),40.0,,-860301838214.0,-728566537441.0
LƯU CHUYÊN THUẦN TRONG NĂM(50 = 20+30+40),III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > LƯU CHUYÊN THUẦN TRONG NĂM(50 = 20+30+40),LƯU CHUYÊN THUẦN TRONG NĂM(50 = 20+30+40),50,,(255.368.892.832),55.065.589.690,50.0,,-255368892832.0,55065589690.0
Tiền và tương đương tiền đầu năm,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,,1.405.792.705.846,1.350.305.311.174,60.0,,1405792705846.0,1350305311174.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,411.658.659,421.804.982,61.0,,411658659.0,421804982.0
TIÊN VÀ TƯƠNG ĐƯƠNG TIÊN CUỐI NĂM(70 = 50+60+61),III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > TIÊN VÀ TƯƠNG ĐƯƠNG TIÊN CUỐI NĂM(70 = 50+60+61),TIÊN VÀ TƯƠNG ĐƯƠNG TIÊN CUỐI NĂM(70 = 50+60+61),70,4.1,1.150.835.471.673,1.405.792.705.846,70.0,41.0,1150835471673.0,1405792705846.0
