row_label_raw,row_label_full,Công ty TNHH Kỹ thuật Stronkin Việt Nam > Công ty TNHH Nhà bếp Vman Việt Nam,Tại ngày31/12/2023VND > 107.307.517.996 > -,Tại ngày01/01/2023VND > - > 115.350.601.421,numeric__Tại ngày31/12/2023VND > 107.307.517.996 > -,numeric__Tại ngày01/01/2023VND > - > 115.350.601.421
Công ty Cổ phần Công nghệ Nông sản Á Châu,Công ty Cổ phần Công nghệ Nông sản Á Châu,Công ty Cổ phần Công nghệ Nông sản Á Châu,-,110.260.790.518,,110260790518.0
Các khác hàng khác,Các khác hàng khác,Các khác hàng khác,154.018.447.626,280.517.556.891,154018447626.0,280517556891.0
Cộng,Cộng,Cộng,261.325.965.622,506.128.948.830,261325965622.0,506128948830.0
