row_label_raw,row_label_full,col_0,Tại ngày 31/12/2023 > Giá trị (VND),Tại ngày 31/12/2023 > Tỷ lệ (%),numeric__Tại ngày 31/12/2023 > Giá trị (VND),numeric__Tại ngày 31/12/2023 > Tỷ lệ (%)
Nhà nước,Nhà nước,Nhà nước,3.747.567.000.000,"99,54",3747567000000.0,99.54
Các cổ đông khác,Các cổ đông khác,Các cổ đông khác,17.433.000.000,"0,46",17433000000.0,0.46
Cộng,Cộng,Cộng,3.765.000.000.000,"100,00",3765000000000.0,100.0
