row_label_raw,row_label_full,col_0,Tại ngày31/12/2023VND,Tại ngày01/01/2023VND,numeric__Tại ngày31/12/2023VND,numeric__Tại ngày01/01/2023VND
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Công cụ dụng cụ,Ngắn hạn: > Công cụ dụng cụ,Công cụ dụng cụ,2.148.035.869,2.151.239.001,2148035869.0,2151239001.0
Các khoản khác,Ngắn hạn: > Các khoản khác,Các khoản khác,52.712.246.120,3.433.635.801,52712246120.0,3433635801.0
Cộng,Ngắn hạn: > Cộng,Cộng,54.860.281.989,5.584.874.802,54860281989.0,5584874802.0
Dải hạn:,Dải hạn:,Dải hạn:,Dải hạn:,Dải hạn:,,
Tiền thuê đất trả trước,Dải hạn: > Tiền thuê đất trả trước,Tiền thuê đất trả trước,937.818.282.405,905.470.173.008,937818282405.0,905470173008.0
Trả trước tiền đền bù giải phóng mặt bằng khu công nghiệp Thạnh Phú,Dải hạn: > Trả trước tiền đền bù giải phóng mặt bằng khu công nghiệp Thạnh Phú,Trả trước tiền đền bù giải phóng mặt bằng khu công nghiệp Thạnh Phú,345.439.876.951,318.499.087.822,345439876951.0,318499087822.0
"Công cụ, dụng cụ","Dải hạn: > Công cụ, dụng cụ","Công cụ, dụng cụ",11.271.671.636,10.518.144.007,11271671636.0,10518144007.0
Chi phí trả trước dài hạn khác,Dải hạn: > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,330.535.382.869,327.140.499.156,330535382869.0,327140499156.0
Cộng,Dải hạn: > Cộng,Cộng,1.625.065.213.861,1.561.627.903.993,1625065213861.0,1561627903993.0
