row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất VND,Phần mềm máy tính VND,Khác VND,Cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Khác VND,numeric__Cộng VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Tại ngày 01/01/2023,Nguyên giá: > Tại ngày 01/01/2023,Tại ngày 01/01/2023,463.043.599.175,17.623.088.464,2.994.843.027,483.661.530.666,463043599175.0,17623088464.0,2994843027.0,483661530666.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,3.638.134.924,-,3.638.134.924,,3638134924.0,,3638134924.0
Tại ngày 31/12/2023,Nguyên giá: > Tại ngày 31/12/2023,Tại ngày 31/12/2023,463.043.599.175,21.261.223.388,2.994.843.027,487.299.665.590,463043599175.0,21261223388.0,2994843027.0,487299665590.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Tại ngày 01/01/2023,Giá trị hao mòn lũy kế: > Tại ngày 01/01/2023,Tại ngày 01/01/2023,129.830.920.127,14.745.786.759,2.013.699.073,146.590.405.959,129830920127.0,14745786759.0,2013699073.0,146590405959.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,8.952.166.954,1.602.564.128,61.611.160,10.616.342.242,8952166954.0,1602564128.0,61611160.0,10616342242.0
Tại ngày 31/12/2023,Giá trị hao mòn lũy kế: > Tại ngày 31/12/2023,Tại ngày 31/12/2023,138.783.087.081,16.348.350.887,2.075.310.233,157.206.748.201,138783087081.0,16348350887.0,2075310233.0,157206748201.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Tại ngày 01/01/2023,Giá trị còn lại: > Tại ngày 01/01/2023,Tại ngày 01/01/2023,333.212.679.048,2.877.301.705,981.143.954,337.071.124.707,333212679048.0,2877301705.0,981143954.0,337071124707.0
Tại ngày 31/12/2023,Giá trị còn lại: > Tại ngày 31/12/2023,Tại ngày 31/12/2023,324.260.512.094,4.912.872.501,919.532.794,330.092.917.389,324260512094.0,4912872501.0,919532794.0,330092917389.0
