row_label_raw,row_label_full,Khoản mục,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND","Phương tiệnvận tải, truyền dẫnVND","Thiết bị, dụng cụquản lýVND",TSCĐ hữu hìnhkhácVND,CộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND","numeric__Phương tiệnvận tải, truyền dẫnVND","numeric__Thiết bị, dụng cụquản lýVND",numeric__TSCĐ hữu hìnhkhácVND,numeric__CộngVND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Tại ngày 01/01/2023,Nguyên giá: > Tại ngày 01/01/2023,Tại ngày 01/01/2023,3.704.480.095.354,1.713.581.524.484,3.521.796.891.909,109.108.184.588,310.221.256.233,9.359.187.952.568,3704480095354.0,1713581524484.0,3521796891909.0,109108184588.0,310221256233.0,9359187952568.0
Đầu tư XDCB hoàn thành,Nguyên giá: > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,159.412.030.721,24.839.484.868,230.520.918.815,931.352.727,43.376.035.801,459.079.822.932,159412030721.0,24839484868.0,230520918815.0,931352727.0,43376035801.0,459079822932.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,990.360.693,6.217.330.098,3.836.369.818,909.706.705,292.131.316,12.245.898.630,990360693.0,6217330098.0,3836369818.0,909706705.0,292131316.0,12245898630.0
Tăng khác,Nguyên giá: > Tăng khác,Tăng khác,1.269.760.507,-,-,-,7.197.334.677,8.467.095.184,1269760507.0,,,,7197334677.0,8467095184.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(19.950.839.078),(289.962.000),(2.151.145.095),(811.748.875),-,(23.203.695.048),-19950839078.0,-289962000.0,-2151145095.0,-811748875.0,,-23203695048.0
Giảm khác,Nguyên giá: > Giảm khác,Giảm khác,(146.782.040),-,-,(59.236.364),-,(206.018.404),-146782040.0,,,-59236364.0,,-206018404.0
Tại ngày 31/12/2023,Nguyên giá: > Tại ngày 31/12/2023,Tại ngày 31/12/2023,3.846.288.586.245,1.744.114.417.362,3.754.003.035.447,110.078.258.781,361.086.758.027,9.815.571.055.862,3846288586245.0,1744114417362.0,3754003035447.0,110078258781.0,361086758027.0,9815571055862.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,
Tại ngày 01/01/2023,Giá trị hao mòn lũy kế: > Tại ngày 01/01/2023,Tại ngày 01/01/2023,1.813.968.997.220,1.082.101.066.171,1.735.912.289.667,85.166.409.013,72.780.662.857,4.789.929.424.928,1813968997220.0,1082101066171.0,1735912289667.0,85166409013.0,72780662857.0,4789929424928.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,78.685.211.832,123.990.037.480,199.850.360.484,6.779.850.417,33.523.850.728,442.829.310.941,78685211832.0,123990037480.0,199850360484.0,6779850417.0,33523850728.0,442829310941.0
Tăng khác,Giá trị hao mòn lũy kế: > Tăng khác,Tăng khác,496.264.211,-,-,-,-,496.264.211,496264211.0,,,,,496264211.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(17.446.206.628),(289.962.000),(2.151.145.095),(811.239.286),-,(20.698.553.009),-17446206628.0,-289962000.0,-2151145095.0,-811239286.0,,-20698553009.0
Tại ngày 31/12/2023,Giá trị hao mòn lũy kế: > Tại ngày 31/12/2023,Tại ngày 31/12/2023,1.875.704.266.635,1.205.801.141.651,1.933.611.505.056,91.135.020.144,106.304.513.585,5.212.556.447.071,1875704266635.0,1205801141651.0,1933611505056.0,91135020144.0,106304513585.0,5212556447071.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Tại ngày 01/01/2023,Giá trị còn lại: > Tại ngày 01/01/2023,Tại ngày 01/01/2023,1.890.511.098.134,631.480.458.313,1.785.884.602.242,23.941.775.575,237.440.593.376,4.569.258.527.640,1890511098134.0,631480458313.0,1785884602242.0,23941775575.0,237440593376.0,4569258527640.0
Tại ngày 31/12/2023,Giá trị còn lại: > Tại ngày 31/12/2023,Tại ngày 31/12/2023,1.970.584.319.610,538.313.275.711,1.820.391.530.391,18.943.238.637,254.782.244.442,4.603.014.608.791,1970584319610.0,538313275711.0,1820391530391.0,18943238637.0,254782244442.0,4603014608791.0
