row_label_raw,row_label_full,col_0,Tại ngày31/12/2023VND > Giá trị,Tại ngày01/01/2023VND > Giá trị,numeric__Tại ngày31/12/2023VND > Giá trị,numeric__Tại ngày01/01/2023VND > Giá trị
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Tạm ứng kinh phí bồi thường dự án khu công nghiệp Tân Đức,Ngắn hạn: > Tạm ứng kinh phí bồi thường dự án khu công nghiệp Tân Đức,Tạm ứng kinh phí bồi thường dự án khu công nghiệp Tân Đức,47.191.848.511,80.000.000.000,47191848511.0,80000000000.0
Dự thu lãi tiền gửi,Ngắn hạn: > Dự thu lãi tiền gửi,Dự thu lãi tiền gửi,43.892.805.951,47.438.706.121,43892805951.0,47438706121.0
"Khoản tiền bồi thường về việc phê duyệt bồi thường, hỗ trợ thuộc dự án cụm công nghiệp Long Phước 1 tại xã Long Phước, huyện Long Thành, tỉnh Đồng Nai","Ngắn hạn: > Khoản tiền bồi thường về việc phê duyệt bồi thường, hỗ trợ thuộc dự án cụm công nghiệp Long Phước 1 tại xã Long Phước, huyện Long Thành, tỉnh Đồng Nai","Khoản tiền bồi thường về việc phê duyệt bồi thường, hỗ trợ thuộc dự án cụm công nghiệp Long Phước 1 tại xã Long Phước, huyện Long Thành, tỉnh Đồng Nai",33.051.409.000,32.743.769.000,33051409000.0,32743769000.0
"Kỹ quỹ, ký cược","Ngắn hạn: > Kỹ quỹ, ký cược","Kỹ quỹ, ký cược",15.079.542.316,14.890.732.736,15079542316.0,14890732736.0
Đầu tư hợp tác kinh doanh với bên liên quan - Xem thêm Mục 8,Ngắn hạn: > Đầu tư hợp tác kinh doanh với bên liên quan - Xem thêm Mục 8,Đầu tư hợp tác kinh doanh với bên liên quan - Xem thêm Mục 8,8.756.728.087,5.713.699.087,8756728087.0,5713699087.0
Phải thu khác,Ngắn hạn: > Phải thu khác,Phải thu khác,45.048.030.870,40.400.042.698,45048030870.0,40400042698.0
Cộng,Ngắn hạn: > Cộng,Cộng,193.020.364.735,221.186.949.642,193020364735.0,221186949642.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Đầu tư hợp tác kinh doanh với Công ty Cổ phần ICD Tân Cảng - Long Bình (*),Dài hạn: > Đầu tư hợp tác kinh doanh với Công ty Cổ phần ICD Tân Cảng - Long Bình (*),Đầu tư hợp tác kinh doanh với Công ty Cổ phần ICD Tân Cảng - Long Bình (*),91.163.717.577,91.470.000.000,91163717577.0,91470000000.0
"Ký quỹ, ký cược","Dài hạn: > Ký quỹ, ký cược","Ký quỹ, ký cược",25.838.963.248,25.659.866.997,25838963248.0,25659866997.0
Phải thu khác,Dài hạn: > Phải thu khác,Phải thu khác,10.156.670.939,10.156.670.939,10156670939.0,10156670939.0
Cộng,Dài hạn: > Cộng,Cộng,127.159.351.764,127.286.537.936,127159351764.0,127286537936.0
