row_label_raw,row_label_full,col_0,Tại ngày 31/12/2023VND,Tại ngày 31/12/2023VND_1,Tại ngày 01/01/2023VND,Tại ngày 01/01/2023VND_1,numeric__Tại ngày 31/12/2023VND,numeric__Tại ngày 31/12/2023VND_1,numeric__Tại ngày 01/01/2023VND,numeric__Tại ngày 01/01/2023VND_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",46.249.274.129,(133.181.950),48.066.179.801,(133.181.950),46249274129.0,-133181950.0,48066179801.0,-133181950.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",2.428.912.281,-,3.057.966.680,-,2428912281.0,,3057966680.0,
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,2.057.957.578.765,-,1.672.202.272.407,-,2057957578765.0,,1672202272407.0,
"Dự án khu công nghiệp, khu đô thị Châu Đức","Dự án khu công nghiệp, khu đô thị Châu Đức","Dự án khu công nghiệp, khu đô thị Châu Đức",1.473.094.987.218,-,1.191.447.003.198,-,1473094987218.0,,1191447003198.0,
Dự án khu dân cư Hữu Phước,Dự án khu dân cư Hữu Phước,Dự án khu dân cư Hữu Phước,147.827.347.260,-,146.256.349.650,-,147827347260.0,,146256349650.0,
"Dự án khu dân cư xã Lộc An, huyện Long Thành","Dự án khu dân cư xã Lộc An, huyện Long Thành","Dự án khu dân cư xã Lộc An, huyện Long Thành",62.112.297.319,-,51.296.907.710,-,62112297319.0,,51296907710.0,
Các dự án khác,Các dự án khác,Các dự án khác,374.922.946.968,-,283.202.011.849,-,374922946968.0,,283202011849.0,
Thành phẩm,Thành phẩm,Thành phẩm,46.684.561.253,-,68.465.419.574,-,46684561253.0,,68465419574.0,
Hàng hóa,Hàng hóa,Hàng hóa,1.788.285.868,-,1.897.498.970,-,1788285868.0,,1897498970.0,
Cộng,Cộng,Cộng,2.155.108.612.296,(133.181.950),1.793.689.337.432,(133.181.950),2155108612296.0,-133181950.0,1793689337432.0,-133181950.0
