row_label_raw,row_label_full,col_0,Tại ngày 01/01/2023VND,Tại ngày 01/01/2023VND_1,Trong nămVND,Trong nămVND_1,Tại ngày 31/12/2023VND,Tại ngày 31/12/2023VND_1,numeric__Tại ngày 01/01/2023VND,numeric__Tại ngày 01/01/2023VND_1,numeric__Trong nămVND,numeric__Trong nămVND_1,numeric__Tại ngày 31/12/2023VND,numeric__Tại ngày 31/12/2023VND_1
,,,Phải thu,Phải nộp,Phải nộp,Đã nộp,Phải thu,Phải nộp,,,,,,
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,171.494.670,7.327.701.016,188.432.936.346,(184.745.079.907),501.130.909,11.345.193.694,171494670.0,7327701016.0,188432936346.0,-184745079907.0,501130909.0,11345193694.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,5.948.031.898,38.290.845.144,281.977.814.812,(238.359.813.834),4.745.973.360,80.706.787.584,5948031898.0,38290845144.0,281977814812.0,-238359813834.0,4745973360.0,80706787584.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,897.649.178,5.439.336.939,34.321.281.248,(34.721.792.295),295.828.168,4.437.004.882,897649178.0,5439336939.0,34321281248.0,-34721792295.0,295828168.0,4437004882.0
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,-,1.028.327.609,11.117.095.775,(10.594.668.688),-,1.550.754.696,,1028327609.0,11117095775.0,-10594668688.0,,1550754696.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,-,9.729.591.739,20.090.155.176,(27.240.271.196),-,2.579.475.719,,9729591739.0,20090155176.0,-27240271196.0,,2579475719.0
"Tiền thuê đất, thuế đất phi nông nghiệp","Tiền thuê đất, thuế đất phi nông nghiệp","Tiền thuê đất, thuế đất phi nông nghiệp",-,6.550.512.949,51.438.407.170,(47.036.100.066),2.629.758.868,13.582.578.921,,6550512949.0,51438407170.0,-47036100066.0,2629758868.0,13582578921.0
"Phí, lệ phí","Phí, lệ phí","Phí, lệ phí",-,4.581.930.138,4.766.336.710,(6.818.217.916),-,2.530.048.932,,4581930138.0,4766336710.0,-6818217916.0,,2530048932.0
Thuế khác,Thuế khác,Thuế khác,2.085.005,19.705.700.056,62.861.565.902,(58.638.478.938),2.085.005,23.928.787.020,2085005.0,19705700056.0,62861565902.0,-58638478938.0,2085005.0,23928787020.0
Cộng,Cộng,Cộng,7.019.260.751,92.653.945.590,655.005.593.139,(608.154.422.840),8.174.776.310,140.660.631.448,7019260751.0,92653945590.0,655005593139.0,-608154422840.0,8174776310.0,140660631448.0
