row_label_raw,row_label_full,CHÌ TIÊU,Mã số,TM,Năm 2023,Năm 2022,numeric__Mã số,numeric__TM,numeric__Năm 2023,numeric__Năm 2022
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1,5.1,5.446.697.369.421,5.293.172.692.194,1.0,51.0,5446697369421.0,5293172692194.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2,,11.799.973,-,2.0,,11799973.0,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,5.446.685.569.448,5.293.172.692.194,10.0,,5446685569448.0,5293172692194.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,5.2,3.394.535.044.246,3.572.440.169.839,11.0,52.0,3394535044246.0,3572440169839.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,2.052.150.525.202,1.720.732.522.355,20.0,,2052150525202.0,1720732522355.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,5.3,264.327.607.046,304.171.140.469,21.0,53.0,264327607046.0,304171140469.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,5.4,161.910.587.000,138.577.442.116,22.0,54.0,161910587000.0,138577442116.0
"Trong đó, chi phí lãi vay","Trong đó, chi phí lãi vay","Trong đó, chi phí lãi vay",23,,117.308.293.891,113.822.839.535,23.0,,117308293891.0,113822839535.0
8. Phần lãi hoặc lỗ trong công ty liên kết,8. Phần lãi hoặc lỗ trong công ty liên kết,8. Phần lãi hoặc lỗ trong công ty liên kết,24,,17.883.303.508,2.457.330.965,24.0,,17883303508.0,2457330965.0
9. Chi phí bán hàng,9. Chi phí bán hàng,9. Chi phí bán hàng,25,5.5,108.965.708.416,121.571.320.661,25.0,55.0,108965708416.0,121571320661.0
10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,26,5.6,432.995.623.588,433.084.498.355,26.0,56.0,432995623588.0,433084498355.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Lợi nhuận thuần từ hoạt động kinh doanh,30,,1.630.489.516.752,1.334.127.732.657,30.0,,1630489516752.0,1334127732657.0
12. Thu nhập khác,12. Thu nhập khác,12. Thu nhập khác,31,,36.772.455.771,26.246.168.902,31.0,,36772455771.0,26246168902.0
13. Chi phí khác,13. Chi phí khác,13. Chi phí khác,32,,9.559.752.401,40.563.573.728,32.0,,9559752401.0,40563573728.0
14. Lợi nhuận khác,14. Lợi nhuận khác,14. Lợi nhuận khác,40,,27.212.703.370,(14.317.404.826),40.0,,27212703370.0,-14317404826.0
15. Tổng lợi nhuận kế toán trước thuế,15. Tổng lợi nhuận kế toán trước thuế,15. Tổng lợi nhuận kế toán trước thuế,50,,1.657.702.220.122,1.319.810.327.831,50.0,,1657702220122.0,1319810327831.0
16. Chi phí thuế TNDN hiện hành,16. Chi phí thuế TNDN hiện hành,16. Chi phí thuế TNDN hiện hành,51,5.8,279.998.371.875,219.618.424.143,51.0,58.0,279998371875.0,219618424143.0
17. Chi phí thuế TNDN hoãn lại,17. Chi phí thuế TNDN hoãn lại,17. Chi phí thuế TNDN hoãn lại,52,5.9,(20.515.135.624),(18.377.537.229),52.0,59.0,-20515135624.0,-18377537229.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,1.398.218.983.871,1.118.569.440.917,60.0,,1398218983871.0,1118569440917.0
19. Lợi nhuận sau thuế của công ty mẹ,19. Lợi nhuận sau thuế của công ty mẹ,19. Lợi nhuận sau thuế của công ty mẹ,61,,832.594.800.265,628.427.719.804,61.0,,832594800265.0,628427719804.0
20. Lợi nhuận sau thuế của cổ đông không kiểm soát,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,565.624.183.606,490.141.721.113,62.0,,565624183606.0,490141721113.0
21. Lãi cơ bản trên cổ phiếu,21. Lãi cơ bản trên cổ phiếu,21. Lãi cơ bản trên cổ phiếu,70,4.22.3,2.041,1.471,70.0,4223.0,2041.0,1471.0
22. Lãi suy giảm trên cổ phiếu,22. Lãi suy giảm trên cổ phiếu,22. Lãi suy giảm trên cổ phiếu,71,4.22.3,2.041,1.471,71.0,4223.0,2041.0,1471.0
