row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2021Triệu VND,31/12/2020Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2021Triệu VND,numeric__31/12/2020Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮUNỘ PHẢI TRẢ,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và NHNNVN,16,2.172.763,205.702,,16.0,2172763.0,205702.0
II,B > II,II,Tiền gửi và vay các TCTD khác,17,58.611.446,42.699.830,,17.0,58611446.0,42699830.0
1,B > 1,1,Tiền gửi của các TCTD khác,,35.798.180,25.571.629,,,35798180.0,25571629.0
2,B > 2,2,Vay các TCTD khác,,22.813.266,17.128.201,,,22813266.0,17128201.0
III,B > III,III,Tiền gửi của khách hàng,18,109.814.519,113.298.248,,18.0,109814519.0,113298248.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,19,47.804,-,,19.0,47804.0,
VI,B > VI,VI,Phát hành giấy tờ có giá,20,19.053.200,7.064.740,,20.0,19053200.0,7064740.0
VII,B > VII,VII,Các khoản nợ khác,21,3.517.492,3.442.763,,21.0,3517492.0,3442763.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,2.947.320,3.065.604,,,2947320.0,3065604.0
3,B > 3,3,Các khoản phải trả và công nợ khác,,570.172,377.159,,,570172.0,377159.0
,,,TỔNG NỘ PHẢI TRẢ,,193.217.224,166.711.283,,,193217224.0,166711283.0
,,,VỐN CHỦ SỞ HỮU,,,,,,,
VIII,B > VIII,VIII,Vốn và các quỹ,22,18.830.192,13.813.455,,22.0,18830192.0,13813455.0
1,B > 1,1,Vốn,,15.595.507,12.087.442,,,15595507.0,12087442.0
A,B > A,A,Vốn điều lệ,,14.784.884,12.087.442,,,14784884.0,12087442.0
C,B > C,C,Thặng dư vốn cổ phần,,810.623,-,,,810623.0,
2,B > 2,2,Các quỹ của TCTD,,813.692,419.156,,,813692.0,419156.0
3,3,3,Chênh lệch tỷ giá hối đoái,,-,-,,,,
5,3 > 5,5,Lợi nhuận chưa phân phối,,2.420.993,1.306.857,,,2420993.0,1306857.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,18.830.192,13.813.455,,,18830192.0,13813455.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,212.047.416,180.524.738,,,212047416.0,180524738.0
