row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2021(Triệu VND),Quá hạn > Đến 3 tháng,Quá hạn > Trên 3 tháng,Quá hạn > Đến 1 tháng,Quá hạn > Từ 1 đến 3 tháng,Trong hạn > Từ 3 đến 12 tháng,Trong hạn > Từ 1 năm đến 5 năm,Trong hạn > Trên 5 năm,Tổng cộng,numeric__Quá hạn > Đến 3 tháng,numeric__Quá hạn > Trên 3 tháng,numeric__Quá hạn > Đến 1 tháng,numeric__Quá hạn > Từ 1 đến 3 tháng,numeric__Trong hạn > Từ 3 đến 12 tháng,numeric__Trong hạn > Từ 1 năm đến 5 năm,numeric__Trong hạn > Trên 5 năm,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,-,1.075.997,-,-,-,-,1.075.997,,,1075997.0,,,,,1075997.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,4.796.702,-,-,-,-,4.796.702,,,4796702.0,,,,,4796702.0
Tiền gửi và cho vay các TCTD khác,Tài sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,34.351.405,7.999.769,2.339.303,-,-,44.690.477,,,34351405.0,7999769.0,2339303.0,,,44690477.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,13.494.009,-,-,-,-,13.494.009,,,13494009.0,,,,,13494009.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,133.717,2.048.565,7.136.031,8.661.320,64.320.234,27.683.931,14.916.111,124.899.910,133717.0,2048565.0,7136031.0,8661320.0,64320234.0,27683931.0,14916111.0,124899910.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,-,99.999,300.008,4.171.770,4.269.632,7.595.787,16.437.196,,,99999.0,300008.0,4171770.0,4269632.0,7595787.0,16437196.0
Góp vốn đầu tư dài hạn - gộp,Tài sản > Góp vốn đầu tư dài hạn - gộp,Góp vốn đầu tư dài hạn - gộp,-,-,-,-,-,-,1.843.172,1.843.172,,,,,,,1843172.0,1843172.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,880.990,880.990,,,,,,,880990.0,880990.0
Tài sản có khác - gộp,Tài sản > Tài sản có khác - gộp,Tài sản có khác - gộp,-,-,394.784,1.038.350,1.520.161,1.329.252,1.470.576,5.753.123,,,394784.0,1038350.0,1520161.0,1329252.0,1470576.0,5753123.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,133.718,2.048.565,61.348.927,17.999.447,72.351.468,33.282.815,26.706.636,213.871.576,133718.0,2048565.0,61348927.0,17999447.0,72351468.0,33282815.0,26706636.0,213871576.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Nợ phải trả NHNNVN và Chính phủ,Nợ phải trả > Nợ phải trả NHNNVN và Chính phủ,Nợ phải trả NHNNVN và Chính phủ,-,-,25.240,60.967,2.086.556,-,-,2.172.763,,,25240.0,60967.0,2086556.0,,,2172763.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,43.083.100,10.943.119,1.616.027,2.969.200,-,58.611.446,,,43083100.0,10943119.0,1616027.0,2969200.0,,58611446.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,28.888.113,28.210.150,41.380.880,11.333.376,2.000,109.814.519,,,28888113.0,28210150.0,41380880.0,11333376.0,2000.0,109814519.0
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,8.746,16.572,56.756,(34.270),-,47.804,,,8746.0,16572.0,56756.0,-34270.0,,47804.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,41.530,216.580,16.395.090,2.400.000,-,19.053.200,,,41530.0,216580.0,16395090.0,2400000.0,,19053200.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,815.465,1.075.489,1.227.562,368.046,30.930,3.517.492,,,815465.0,1075489.0,1227562.0,368046.0,30930.0,3517492.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,72.862.194,40.522.877,62.762.871,17.036.352,32.930,193.217.224,,,72862194.0,40522877.0,62762871.0,17036352.0,32930.0,193217224.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,133.718,2.048.565,(11.513.267),(22.523.430),9.588.597,16.246.463,26.673.706,20.654.352,133718.0,2048565.0,-11513267.0,-22523430.0,9588597.0,16246463.0,26673706.0,20654352.0
