row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Máy móc thiết bị Triệu VND,Phương tiện vận tải Triệu VND,Thiết bị văn phòng Triệu VND,Các tài sản cố định hữu hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Máy móc thiết bị Triệu VND,numeric__Phương tiện vận tải Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Các tài sản cố định hữu hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,18.127,338.843,275.564,90.430,12.768,735.732,18127.0,338843.0,275564.0,90430.0,12768.0,735732.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,9.111,41.134,14.545,1.401,66.191,,9111.0,41134.0,14545.0,1401.0,66191.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(89.167),(26.649),(8.864),(1.810),(126.490),,-89167.0,-26649.0,-8864.0,-1810.0,-126490.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,18.127,258.787,290.049,96.111,12.359,675.433,18127.0,258787.0,290049.0,96111.0,12359.0,675433.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,4.253,195.101,168.275,75.429,9.894,452.952,4253.0,195101.0,168275.0,75429.0,9894.0,452952.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,828,20.580,17.315,7.431,709,46.863,828.0,20580.0,17315.0,7431.0,709.0,46863.0
"Thanh lý, nhượng bán","Hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(72.816),(26.649),(8.861),(1.813),(110.139),,-72816.0,-26649.0,-8861.0,-1813.0,-110139.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,5.081,142.865,158.941,73.999,8.790,389.676,5081.0,142865.0,158941.0,73999.0,8790.0,389676.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,13.874,143.742,107.289,15.001,2.874,282.780,13874.0,143742.0,107289.0,15001.0,2874.0,282780.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,13.046,115.922,131.108,22.112,3.569,285.757,13046.0,115922.0,131108.0,22112.0,3569.0,285757.0
