row_label_raw,row_label_full,col_0,Vốn điều lệTriệu VND,Thặng dư vốn cổ phầnTriệu VND,Quỹ dự phòng tài chínhTriệu VND,Quỹ dự trữ bổ sung vốn điều lệTriệu VND,Lợi nhuận chưa phân phốiTriệu VND,Tổng cộngTriệu VND,numeric__Vốn điều lệTriệu VND,numeric__Thặng dư vốn cổ phầnTriệu VND,numeric__Quỹ dự phòng tài chínhTriệu VND,numeric__Quỹ dự trữ bổ sung vốn điều lệTriệu VND,numeric__Lợi nhuận chưa phân phốiTriệu VND,numeric__Tổng cộngTriệu VND
Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,9.369.000,-,115.462,82.308,1.386.266,10.953.036,9369000.0,,115462.0,82308.0,1386266.0,10953036.0
Tăng vốn từ phát hành cổ phiếu,Tăng vốn từ phát hành cổ phiếu,Tăng vốn từ phát hành cổ phiếu,1.406.782,-,-,-,-,1.406.782,1406782.0,,,,,1406782.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,1.475.898,1.475.898,,,,,1475898.0,1475898.0
Phát hành cổ phiếu đề trả cổ tức,Phát hành cổ phiếu đề trả cổ tức,Phát hành cổ phiếu đề trả cổ tức,1.311.660,-,-,-,(1.311.660),-,1311660.0,,,,-1311660.0,
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,-,147.590,73.796,(221.386),-,,,147590.0,73796.0,-221386.0,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,(22.261),(22.261),,,,,-22261.0,-22261.0
Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,12.087.442,-,263.052,156.104,1.306.857,13.813.455,12087442.0,,263052.0,156104.0,1306857.0,13813455.0
Tăng vốn từ phát hành cổ phiếu (*),Tăng vốn từ phát hành cổ phiếu (*),Tăng vốn từ phát hành cổ phiếu (*),1.595.000,810.623,-,-,-,2.405.623,1595000.0,810623.0,,,,2405623.0
Phát hành cổ phiếu đề trả cổ tức (Thuyết minh 24),Phát hành cổ phiếu đề trả cổ tức (Thuyết minh 24),Phát hành cổ phiếu đề trả cổ tức (Thuyết minh 24),1.102.442,-,-,-,(1.102.442),-,1102442.0,,,,-1102442.0,
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,2.630.247,2.630.247,,,,,2630247.0,2630247.0
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,-,263.025,131.511,(394.536),-,,,263025.0,131511.0,-394536.0,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,(18.419),(18.419),,,,,-18419.0,-18419.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,(714),(714),,,,,-714.0,-714.0
Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,14.784.884,810.623,526.077,287.615,2.420.993,18.830.192,14784884.0,810623.0,526077.0,287615.0,2420993.0,18830192.0
