row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu VND,Phần mềm máy vi tínhTriệu VND,Tổng cộngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Phần mềm máy vi tínhTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,396.100,298.738,694.838,396100.0,298738.0,694838.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,62.615,62.615,,62615.0,62615.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(18.104),-,(18.104),-18104.0,,-18104.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,377.996,361.353,739.349,377996.0,361353.0,739349.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,136.923,136.923,,136923.0,136923.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,24.064,24.064,,24064.0,24064.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,160.987,160.987,,160987.0,160987.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,396.100,161.815,557.915,396100.0,161815.0,557915.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,377.996,200.366,578.362,377996.0,200366.0,578362.0
