row_label_raw,row_label_full,Tên công ty,Giấy phép hoạt động,Lĩnh vực hoạt động,Tỷ lệ sở hữu của Ngân hàng,numeric__Giấy phép hoạt động,numeric__Lĩnh vực hoạt động,numeric__Tỷ lệ sở hữu của Ngân hàng
Công ty TNHH Một thành viên Quản lý nợ và Khai thác tài sản SeABank,Công ty TNHH Một thành viên Quản lý nợ và Khai thác tài sản SeABank,Công ty TNHH Một thành viên Quản lý nợ và Khai thác tài sản SeABank,0103099985 do Sở kế hoạch và Đầu tư Thành phố Hà Nội cấp ngày 16 tháng 12 năm 2008 và điều chỉnh gần nhất ngày 24 tháng 10 năm 2018.,Quản lý nợ và khai thác tài sản,100%,,,1.0
Công ty Tài chính TNHH Một thành viên Bưu điện,Công ty Tài chính TNHH Một thành viên Bưu điện,Công ty Tài chính TNHH Một thành viên Bưu điện,96/GP-NHNN ngày 28 tháng 9 năm 2018 và sửa đổi bổ sung theo Quyết định số 2284/QĐ-NHNN ngày 31 tháng 12 năm 2020 của Thống đốc Ngân hàng Nhà nước.,Tài chính tiêu dùng,100%,,,1.0
