row_label_raw,row_label_full,col_0,31/12/2021Triệu VND,%,31/12/2020Triệu VND,%_1,numeric__31/12/2021Triệu VND,numeric__%,numeric__31/12/2020Triệu VND,numeric__%_1
"Nông nghiệp, lâm nghiệp và thuỷ sản","Nông nghiệp, lâm nghiệp và thuỷ sản","Nông nghiệp, lâm nghiệp và thuỷ sản",186.674,"0,15",386.188,"0,36",186674.0,0.15,386188.0,0.36
Khai khoáng,Khai khoáng,Khai khoáng,1.182.702,"0,95",613.528,"0,56",1182702.0,0.95,613528.0,0.56
"Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo",7.857.069,"6,29",7.679.934,"7,06",7857069.0,6.29,7679934.0,7.06
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí","Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí","Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",1.563.952,"1,25",1.173.278,"1,08",1563952.0,1.25,1173278.0,1.08
Xây dựng,Xây dựng,Xây dựng,4.597.966,"3,68",4.893.402,"4,50",4597966.0,3.68,4893402.0,4.5
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác","Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác","Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",21.195.602,"16,97",20.055.213,"18,45",21195602.0,16.97,20055213.0,18.45
Vận tải kho bãi,Vận tải kho bãi,Vận tải kho bãi,8.615.412,"6,90",3.594.541,"3,31",8615412.0,6.9,3594541.0,3.31
Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,10.969.642,"8,78",9.452.275,"8,69",10969642.0,8.78,9452275.0,8.69
Thông tin và truyền thông,Thông tin và truyền thông,Thông tin và truyền thông,2.620.737,"2,10",3.496.134,"3,22",2620737.0,2.1,3496134.0,3.22
Hoạt động tài chính và bảo hiểm,Hoạt động tài chính và bảo hiểm,Hoạt động tài chính và bảo hiểm,2.298.678,"1,84",445.664,"0,41",2298678.0,1.84,445664.0,0.41
Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,5.845.064,"4,68",5.875.123,"5,40",5845064.0,4.68,5875123.0,5.4
"Hoạt động chuyên môn, khoa học và công nghệ","Hoạt động chuyên môn, khoa học và công nghệ","Hoạt động chuyên môn, khoa học và công nghệ",7.990.560,"6,40",8.577.045,"7,89",7990560.0,6.4,8577045.0,7.89
Giáo dục và đào tạo,Giáo dục và đào tạo,Giáo dục và đào tạo,4.190,"0,00",10.157,"0,00",4190.0,0.0,10157.0,0.0
Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,119.426,"0,10",105.861,"0,10",119426.0,0.1,105861.0,0.1
"Nghệ thuật, vui chơi và giải trí","Nghệ thuật, vui chơi và giải trí","Nghệ thuật, vui chơi và giải trí",7.585.494,"6,07",6.586.426,"6,06",7585494.0,6.07,6586426.0,6.06
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình","Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình","Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình",27.266.314,"21,83",19.676.065,"18,10",27266314.0,21.83,19676065.0,18.1
Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,15.000.428,"12,01",16.103.213,"14,81",15000428.0,12.01,16103213.0,14.81
,,,124.899.910,"100,00",108.724.047,"100,00",124899910.0,100.0,108724047.0,100.0
